,clearances_per_game,dribbled_past_per_game,fouls_per_game,interceptions_per_game,offsides_won_per_game,outfielder_blocks_per_game,own_goals,player_number,tackles_per_game,Team,Year_end,Year_start
21,0.5,0.1,1.3,0.6,0.0,0.1,0.0,2213,0.6,Manchester United,2010,2009
22,0.1,0.4,0.7,0.0,0.0,0.0,0.0,22818,0.3,Manchester United,2010,2009
23,0.0,0.0,0.2,0.2,0.0,0.0,0.0,7,0.2,Manchester United,2010,2009
24,0.7,0.0,0.0,0.0,0.0,0.0,0.0,11530,0.0,Manchester United,2010,2009
25,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3101,0.0,Manchester United,2010,2009
26,0.0,0.2,0.8,0.2,0.0,0.0,0.0,71330,0.0,Manchester United,2010,2009
27,0.2,0.0,0.6,0.4,0.0,0.0,0.0,26013,0.0,Manchester United,2010,2009
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553,0.0,Manchester United,2010,2009
29,1.3,0.0,0.0,0.3,0.0,0.0,0.0,7884,0.0,Manchester United,2010,2009
0,2.0,1.5,0.5,0.5,0.5,0.0,0.0,69778,5.5,Tottenham,2010,2009
1,1.3,0.8,1.8,2.2,0.0,0.2,0.0,31549,3.9,Tottenham,2010,2009
2,2.7,0.8,1.7,2.2,0.1,0.5,0.0,8194,3.7,Tottenham,2010,2009
3,3.6,0.6,0.9,3.5,0.2,0.3,0.0,11580,2.4,Tottenham,2010,2009
4,4.1,0.5,0.8,2.2,0.3,0.3,0.0,22040,2.3,Tottenham,2010,2009
5,0.5,1.1,1.3,1.1,0.0,0.1,0.0,7411,2.3,Tottenham,2010,2009
6,3.4,0.5,1.0,2.7,0.0,0.1,0.0,13812,2.2,Tottenham,2010,2009
7,4.9,1.2,1.5,2.0,0.0,0.5,0.0,14805,2.1,Tottenham,2010,2009
8,5.7,0.3,0.7,1.3,1.0,0.0,0.0,112,1.7,Tottenham,2010,2009
9,10.0,0.4,0.7,3.3,0.8,0.9,0.0,4905,1.7,Tottenham,2010,2009
10,6.6,0.2,0.5,2.4,1.2,1.3,0.0,562,1.6,Tottenham,2010,2009
11,0.7,0.6,0.6,2.1,0.0,0.2,0.0,3837,1.6,Tottenham,2010,2009
12,0.5,0.6,1.2,0.6,0.0,0.1,0.0,6162,1.5,Tottenham,2010,2009
13,0.4,0.8,0.7,2.0,0.0,0.1,0.0,20874,1.4,Tottenham,2010,2009
14,1.6,0.8,0.8,0.9,0.1,0.1,0.0,6434,1.3,Tottenham,2010,2009
15,0.4,0.1,0.3,0.9,0.0,0.0,0.0,5625,1.2,Tottenham,2010,2009
16,9.0,0.2,0.6,1.7,0.9,0.4,0.0,19247,1.1,Tottenham,2010,2009
17,0.0,1.0,0.0,2.0,0.0,0.0,0.0,24711,1.0,Tottenham,2010,2009
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28112,1.0,Tottenham,2010,2009
19,0.2,0.4,1.4,0.4,0.0,0.0,0.0,7336,0.9,Tottenham,2010,2009
20,0.2,0.4,0.3,0.6,0.0,0.1,0.0,88,0.7,Tottenham,2010,2009
21,0.1,0.1,1.3,0.5,0.0,0.0,0.0,2837,0.6,Tottenham,2010,2009
22,1.3,0.2,1.2,0.5,0.0,0.0,0.0,3807,0.5,Tottenham,2010,2009
23,0.4,0.2,0.2,0.5,0.0,0.0,0.0,23,0.3,Tottenham,2010,2009
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8180,0.0,Tottenham,2010,2009
25,1.1,0.1,0.0,0.0,0.0,0.0,0.0,2813,0.0,Tottenham,2010,2009
26,1.5,0.0,0.1,0.0,0.0,0.0,0.0,10133,0.0,Tottenham,2010,2009
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36849,0.0,Tottenham,2010,2009
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14171,0.0,Tottenham,2010,2009
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34131,0.0,Tottenham,2010,2009
0,4.5,0.8,1.0,3.2,0.1,0.3,0.0,6042,3.4,Arsenal,2011,2010
1,2.0,0.9,2.2,2.6,0.1,0.4,0.0,10599,3.3,Arsenal,2011,2010
2,5.8,0.0,1.4,3.6,2.0,0.4,0.0,10209,2.2,Arsenal,2011,2010
3,0.6,1.6,1.1,1.1,0.0,0.1,0.0,22649,2.1,Arsenal,2011,2010
4,4.3,0.2,0.6,1.9,0.2,0.2,0.0,19471,2.0,Arsenal,2011,2010
5,6.9,0.5,1.0,2.8,1.5,0.4,0.0,30051,2.0,Arsenal,2011,2010
6,1.5,0.6,1.0,1.1,0.1,0.1,0.0,18214,1.8,Arsenal,2011,2010
7,2.3,0.3,0.7,1.1,0.0,0.0,0.0,27550,1.7,Arsenal,2011,2010
8,4.6,0.1,0.5,1.9,1.7,0.5,1.0,3929,1.7,Arsenal,2011,2010
9,0.6,1.0,1.0,1.5,0.0,0.2,0.0,42686,1.7,Arsenal,2011,2010
10,0.8,1.1,1.0,1.0,0.0,0.2,0.0,8040,1.6,Arsenal,2011,2010
11,0.2,0.4,0.8,0.9,0.0,0.1,0.0,4599,1.5,Arsenal,2011,2010
12,1.2,0.3,0.6,1.0,0.1,0.1,0.0,8039,1.5,Arsenal,2011,2010
13,6.2,0.3,1.4,2.0,1.5,0.7,0.0,11680,1.0,Arsenal,2011,2010
14,0.3,0.5,0.6,0.9,0.0,0.1,0.0,13298,1.0,Arsenal,2011,2010
15,0.7,0.3,1.1,0.7,0.0,0.0,0.0,6236,1.0,Arsenal,2011,2010
16,1.1,0.2,1.3,0.3,0.0,0.1,0.0,4564,0.8,Arsenal,2011,2010
17,0.6,0.2,0.5,0.9,0.0,0.0,0.0,845,0.8,Arsenal,2011,2010
18,0.3,0.3,0.7,1.1,0.0,0.1,0.0,26820,0.6,Arsenal,2011,2010
19,0.3,0.4,0.1,0.6,0.0,0.0,0.0,13796,0.3,Arsenal,2011,2010
20,0.4,0.3,0.5,0.6,0.0,0.0,0.0,13819,0.2,Arsenal,2011,2010
21,0.0,0.3,0.3,0.0,0.0,0.0,0.0,25165,0.0,Arsenal,2011,2010
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74342,0.0,Arsenal,2011,2010
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628,0.0,Arsenal,2011,2010
24,1.4,0.0,0.0,0.0,0.0,0.0,0.0,20973,0.0,Arsenal,2011,2010
25,1.0,0.1,0.1,0.0,0.0,0.0,0.0,8041,0.0,Arsenal,2011,2010
26,1.3,0.0,0.1,0.0,0.0,0.0,0.0,73379,0.0,Arsenal,2011,2010
0,1.0,0.7,1.8,1.7,0.0,0.2,0.0,28191,3.0,Chelsea,2011,2010
1,4.9,0.3,0.6,2.0,0.7,0.9,0.0,10132,2.7,Chelsea,2011,2010
2,1.2,1.0,0.8,1.3,0.2,0.3,0.0,342,2.6,Chelsea,2011,2010
3,4.3,0.3,1.8,2.0,0.5,0.2,0.0,15338,2.2,Chelsea,2011,2010
4,0.8,0.8,0.4,1.2,0.0,0.3,0.0,48,2.2,Chelsea,2011,2010
5,5.1,0.4,0.9,1.6,0.6,0.8,0.0,70,2.2,Chelsea,2011,2010
6,0.9,0.8,1.1,2.0,0.1,0.3,0.0,15464,1.9,Chelsea,2011,2010
7,1.5,0.4,0.4,1.3,0.0,0.3,0.0,7010,1.9,Chelsea,2011,2010
8,1.4,0.7,0.4,1.9,0.1,0.2,1.0,10685,1.7,Chelsea,2011,2010
9,1.0,0.5,1.2,1.6,0.1,0.3,0.0,1832,1.5,Chelsea,2011,2010
10,4.3,0.8,1.5,3.0,0.3,0.7,0.0,27586,1.4,Chelsea,2011,2010
11,6.0,0.0,0.5,1.5,0.0,0.0,0.0,80881,1.0,Chelsea,2011,2010
12,0.0,0.3,0.6,0.2,0.1,0.1,0.0,92324,1.0,Chelsea,2011,2010
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22846,1.0,Chelsea,2011,2010
14,0.3,0.3,0.8,0.9,0.0,0.1,0.0,7252,1.0,Chelsea,2011,2010
15,0.1,0.2,0.5,0.6,0.0,0.0,0.0,527,0.9,Chelsea,2011,2010
16,0.1,0.0,1.0,0.3,0.0,0.1,0.0,4056,0.9,Chelsea,2011,2010
17,1.0,0.6,1.6,0.7,0.0,0.3,0.0,4384,0.8,Chelsea,2011,2010
18,0.1,0.3,0.6,0.5,0.0,0.0,0.0,8028,0.7,Chelsea,2011,2010
19,0.5,0.4,0.6,1.1,0.0,0.1,0.0,1563,0.7,Chelsea,2011,2010
20,0.1,0.7,0.0,0.3,0.0,0.0,0.0,4490,0.7,Chelsea,2011,2010
21,0.0,0.0,0.2,0.2,0.0,0.0,0.0,70291,0.4,Chelsea,2011,2010
22,0.0,0.0,0.1,0.1,0.0,0.0,0.0,23736,0.1,Chelsea,2011,2010
23,0.9,0.0,0.0,0.0,0.0,0.0,0.0,6775,0.0,Chelsea,2011,2010
0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,7415,6.0,Liverpool,2011,2010
1,1.6,1.7,2.0,2.0,0.0,0.3,0.0,31451,5.2,Liverpool,2011,2010
2,6.5,1.5,1.0,0.0,0.5,0.0,0.0,72738,5.0,Liverpool,2011,2010
3,5.5,0.9,0.5,0.8,0.4,0.0,0.0,44687,3.5,Liverpool,2011,2010
4,1.7,0.3,1.1,1.8,0.0,0.6,0.0,17,2.8,Liverpool,2011,2010
5,0.6,1.3,1.3,1.8,0.0,0.3,0.0,1653,2.7,Liverpool,2011,2010
6,1.1,0.5,0.5,1.5,0.0,0.2,0.0,44068,2.5,Liverpool,2011,2010
7,2.9,0.6,0.9,1.7,0.2,0.3,0.0,4574,2.5,Liverpool,2011,2010
8,0.7,1.1,0.8,2.1,0.0,0.2,0.0,10111,2.4,Liverpool,2011,2010
9,0.8,1.0,1.3,1.6,0.0,0.1,0.0,7516,2.3,Liverpool,2011,2010
10,0.5,0.8,0.7,1.9,0.0,0.0,0.0,4445,2.3,Liverpool,2011,2010
11,3.0,0.0,0.5,1.0,0.5,0.0,0.0,86594,2.0,Liverpool,2011,2010
12,2.9,0.7,0.8,1.2,0.1,0.3,0.0,1103,1.9,Liverpool,2011,2010
13,2.9,1.6,1.6,2.1,0.3,0.4,0.0,94030,1.7,Liverpool,2011,2010
14,5.2,0.5,0.6,1.3,0.3,0.4,0.0,7398,1.6,Liverpool,2011,2010
15,5.9,0.1,0.8,0.7,0.2,0.4,0.0,3061,1.6,Liverpool,2011,2010
16,6.1,0.3,0.5,1.0,0.4,0.9,1.0,1329,1.3,Liverpool,2011,2010
17,0.1,0.8,0.9,0.5,0.0,0.0,0.0,22221,1.2,Liverpool,2011,2010
18,6.8,0.3,1.1,1.5,0.5,0.8,1.0,19840,1.2,Liverpool,2011,2010
19,0.9,0.1,0.4,1.2,0.1,0.1,0.0,2940,1.1,Liverpool,2011,2010
20,0.2,0.2,0.6,0.5,0.0,0.0,0.0,487,1.0,Liverpool,2011,2010
21,0.1,0.3,0.5,0.9,0.0,0.1,0.0,21712,0.7,Liverpool,2011,2010
22,0.2,0.2,1.0,0.4,0.0,0.0,0.0,24457,0.7,Liverpool,2011,2010
23,0.3,0.1,2.0,0.3,0.0,0.0,0.0,4056,0.6,Liverpool,2011,2010
24,0.3,0.1,0.5,0.4,0.0,0.0,0.0,40027,0.5,Liverpool,2011,2010
25,0.0,0.0,0.3,0.1,0.0,0.0,0.0,12158,0.2,Liverpool,2011,2010
26,0.1,0.1,0.9,0.1,0.0,0.0,0.0,23383,0.1,Liverpool,2011,2010
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67296,0.0,Liverpool,2011,2010
28,0.9,0.0,0.0,0.0,0.0,0.0,1.0,2987,0.0,Liverpool,2011,2010
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67483,0.0,Liverpool,2011,2010
0,3.5,1.1,1.5,2.7,0.2,0.3,0.0,14244,3.1,Manchester City,2011,2010
1,1.1,1.0,1.3,2.7,0.0,0.3,0.0,4608,3.0,Manchester City,2011,2010
2,3.2,0.9,1.4,1.2,0.4,0.3,0.0,23589,2.8,Manchester City,2011,2010
3,9.1,0.3,1.2,2.4,0.5,0.9,0.0,10136,2.7,Manchester City,2011,2010
4,2.2,1.1,1.6,2.0,0.1,0.6,0.0,188,2.7,Manchester City,2011,2010
5,7.0,0.2,0.5,1.8,0.5,0.5,0.0,3817,2.2,Manchester City,2011,2010
