,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Wins,Estimated_Draws,Estimated_Loses,Estimated_Points_Extended,Delta_Points_Extended
163,Bayer Leverkusen,2014,2015,34,17,10,7,62,37,61,19.0,7.0,8.0,65.0,-4.0
164,Augsburg,2014,2015,34,15,4,15,43,43,49,16.0,8.0,10.0,57.0,-8.0
165,Schalke 04,2014,2015,34,13,9,12,42,40,48,16.0,8.0,10.0,58.0,-10.0
166,Borussia Dortmund,2014,2015,34,13,7,14,47,42,46,17.0,8.0,9.0,59.0,-13.0
167,Hoffenheim,2014,2015,34,12,8,14,49,55,44,15.0,7.0,12.0,54.0,-10.0
168,Eintracht Frankfurt,2014,2015,34,11,10,13,56,62,43,16.0,6.0,12.0,54.0,-11.0
169,Werder Bremen,2014,2015,34,11,10,13,50,65,43,15.0,6.0,13.0,51.0,-8.0
170,Mainz 05,2014,2015,34,9,13,12,45,47,40,16.0,8.0,10.0,55.0,-15.0
171,FC Cologne,2014,2015,34,9,13,12,34,40,40,15.0,9.0,10.0,55.0,-15.0
172,Hannover 96,2014,2015,34,9,10,15,40,56,37,14.0,7.0,13.0,51.0,-14.0
173,VfB Stuttgart,2014,2015,34,9,9,16,42,60,36,14.0,7.0,13.0,50.0,-14.0
174,Hertha Berlin,2014,2015,34,9,8,17,36,52,35,14.0,8.0,12.0,51.0,-16.0
175,Hamburger SV,2014,2015,34,9,8,17,25,50,35,12.0,9.0,13.0,46.0,-11.0
176,Freiburg,2014,2015,34,7,13,14,36,47,34,15.0,8.0,11.0,53.0,-19.0
177,Paderborn,2014,2015,34,7,10,17,31,65,31,12.0,7.0,15.0,44.0,-13.0
178,Bayern Munich,2015,2016,34,28,4,2,80,17,88,24.0,9.0,1.0,81.0,7.0
179,Borussia Dortmund,2015,2016,34,24,6,4,82,34,78,21.0,7.0,6.0,70.0,8.0
180,Bayer Leverkusen,2015,2016,34,18,6,10,56,40,60,18.0,7.0,9.0,62.0,-2.0
181,Borussia M.Gladbach,2015,2016,34,17,4,13,67,50,55,18.0,6.0,10.0,60.0,-5.0
182,Schalke 04,2015,2016,34,15,7,12,51,49,52,16.0,7.0,11.0,57.0,-5.0
183,Mainz 05,2015,2016,34,14,8,12,46,42,50,17.0,8.0,9.0,58.0,-8.0
184,Hertha Berlin,2015,2016,34,14,8,12,42,42,50,16.0,8.0,10.0,57.0,-7.0
185,Wolfsburg,2015,2016,34,12,9,13,47,49,45,16.0,7.0,11.0,56.0,-11.0
186,FC Cologne,2015,2016,34,10,13,11,38,42,43,16.0,9.0,9.0,56.0,-13.0
187,Hamburger SV,2015,2016,34,11,8,15,40,46,41,15.0,8.0,11.0,55.0,-14.0
188,Ingolstadt,2015,2016,34,10,10,14,33,42,40,15.0,9.0,10.0,54.0,-14.0
189,Augsburg,2015,2016,34,9,11,14,42,52,38,15.0,7.0,12.0,53.0,-15.0
190,Werder Bremen,2015,2016,34,10,8,16,50,65,38,15.0,6.0,13.0,51.0,-13.0
191,Darmstadt,2015,2016,34,9,11,14,38,53,38,14.0,8.0,12.0,51.0,-13.0
192,Hoffenheim,2015,2016,34,9,10,15,39,54,37,14.0,7.0,13.0,51.0,-14.0
193,Eintracht Frankfurt,2015,2016,34,9,9,16,34,52,36,14.0,8.0,12.0,50.0,-14.0
194,VfB Stuttgart,2015,2016,34,9,6,19,50,75,33,14.0,6.0,14.0,48.0,-15.0
195,Hannover 96,2015,2016,34,7,4,23,31,62,25,12.0,8.0,14.0,45.0,-20.0
196,Bayern Munich,2016,2017,34,25,7,2,89,22,82,23.0,7.0,4.0,78.0,4.0
197,RasenBallsport Leipzig,2016,2017,34,20,7,7,66,39,67,19.0,7.0,8.0,64.0,3.0
198,Borussia Dortmund,2016,2017,34,18,10,6,72,40,64,19.0,6.0,9.0,65.0,-1.0
199,Hoffenheim,2016,2017,34,16,14,4,64,37,62,19.0,7.0,8.0,65.0,-3.0
200,FC Cologne,2016,2017,34,12,13,9,51,42,49,17.0,7.0,10.0,60.0,-11.0
201,Hertha Berlin,2016,2017,34,15,4,15,43,47,49,16.0,8.0,10.0,55.0,-6.0
202,Freiburg,2016,2017,34,14,6,14,42,60,48,14.0,7.0,13.0,50.0,-2.0
203,Werder Bremen,2016,2017,34,13,6,15,61,64,45,16.0,6.0,12.0,54.0,-9.0
204,Borussia M.Gladbach,2016,2017,34,12,9,13,45,49,45,16.0,7.0,11.0,55.0,-10.0
205,Schalke 04,2016,2017,34,11,10,13,45,40,43,17.0,8.0,9.0,58.0,-15.0
206,Eintracht Frankfurt,2016,2017,34,11,9,14,36,43,42,15.0,9.0,10.0,55.0,-13.0
207,Bayer Leverkusen,2016,2017,34,11,8,15,53,55,41,16.0,7.0,11.0,55.0,-14.0
208,Augsburg,2016,2017,34,9,11,14,35,51,38,14.0,8.0,12.0,51.0,-13.0
209,Hamburger SV,2016,2017,34,10,8,16,33,61,38,13.0,8.0,13.0,46.0,-8.0
210,Mainz 05,2016,2017,34,10,7,17,44,55,37,15.0,7.0,12.0,52.0,-15.0
211,Wolfsburg,2016,2017,34,10,7,17,34,52,37,14.0,8.0,12.0,50.0,-13.0
212,Ingolstadt,2016,2017,34,8,8,18,36,57,32,14.0,8.0,12.0,49.0,-17.0
213,Darmstadt,2016,2017,34,7,4,23,28,63,25,12.0,8.0,14.0,44.0,-19.0
214,Bayern Munich,2017,2018,34,27,3,4,92,28,84,22.0,7.0,5.0,74.0,10.0
215,Schalke 04,2017,2018,34,18,9,7,53,37,63,18.0,8.0,8.0,63.0,0.0
216,Hoffenheim,2017,2018,34,15,10,9,66,48,55,18.0,6.0,10.0,60.0,-5.0
217,Borussia Dortmund,2017,2018,34,15,10,9,64,47,55,18.0,6.0,10.0,61.0,-6.0
