,Year_end,Year_start,D,DC,G,GA,L,M,NPxG,NPxGA,NPxGD,ODC,OPPDA,PPDA,PTS,W,xG,xGA,Team,League
11,2015,2014,13,137,34,40,12,34,29.19,37.49,-8.3,230,9.06,15.42,40,9,32.22,40.52,FC Cologne,bundesliga
12,2015,2014,10,179,40,56,15,34,34.16,44.77,-10.61,198,8.75,9.0,37,9,36.43,46.28,Hannover 96,bundesliga
13,2015,2014,9,143,42,60,16,34,44.88,45.07,-0.19,201,8.75,9.06,36,9,45.64,48.1,VfB Stuttgart,bundesliga
14,2015,2014,8,96,36,52,17,34,29.63,43.92,-14.3,196,6.18,10.66,35,9,32.66,46.2,Hertha Berlin,bundesliga
15,2015,2014,8,138,25,50,17,34,30.59,49.77,-19.18,185,7.11,7.75,35,9,32.86,55.83,Hamburger SV,bundesliga
16,2015,2014,13,229,36,47,14,34,31.87,44.4,-12.53,232,7.83,10.75,34,7,38.69,45.91,Freiburg,bundesliga
17,2015,2014,10,147,31,65,17,34,35.32,50.47,-15.14,233,6.23,10.32,31,7,36.08,55.77,Paderborn,bundesliga
0,2016,2015,4,353,80,17,2,34,70.22,19.28,50.94,103,17.6,6.23,88,28,77.04,20.79,Bayern Munich,bundesliga
1,2016,2015,6,387,82,34,4,34,78.84,26.15,52.7,126,14.14,7.28,78,24,83.41,29.18,Borussia Dortmund,bundesliga
2,2016,2015,6,243,56,40,10,34,50.63,35.93,14.7,165,7.76,5.93,60,18,52.91,41.24,Bayer Leverkusen,bundesliga
3,2016,2015,4,243,67,50,13,34,50.64,43.01,7.63,186,11.39,7.98,55,17,53.67,49.07,Borussia M.Gladbach,bundesliga
4,2016,2015,7,228,51,49,12,34,43.34,45.61,-2.27,197,9.39,9.2,52,15,47.13,47.88,Schalke 04,bundesliga
5,2016,2015,8,194,46,42,12,34,47.16,41.95,5.21,195,7.73,9.13,50,14,47.91,47.27,Mainz 05,bundesliga
6,2016,2015,8,147,42,42,12,34,33.62,40.91,-7.29,181,9.93,12.18,50,14,35.9,43.94,Hertha Berlin,bundesliga
7,2016,2015,9,177,47,49,13,34,47.22,40.1,7.11,195,11.6,9.24,45,12,49.49,41.62,Wolfsburg,bundesliga
8,2016,2015,13,178,38,42,11,34,39.84,41.4,-1.56,207,9.7,13.26,43,10,42.87,44.43,FC Cologne,bundesliga
