,Year_end,Year_start,D,DC,G,GA,L,M,NPxG,NPxGA,NPxGD,ODC,OPPDA,PPDA,PTS,W,xG,xGA,Team,League
13,2020,2019,9,141,39,56,18,38,34.75,49.72,-14.96,197,8.69,8.87,42,11,42.35,54.33,Eibar,la liga
14,2020,2019,11,236,48,60,17,38,42.95,48.13,-5.18,216,10.51,9.67,41,10,48.9,56.3,Real Betis,la liga
15,2020,2019,9,130,34,59,19,38,33.69,46.78,-13.09,220,7.24,11.27,39,10,38.15,57.93,Alaves,la liga
16,2020,2019,16,188,37,49,15,38,33.75,41.11,-7.36,215,9.26,9.96,37,7,40.44,44.83,Celta Vigo,la liga
17,2020,2019,12,158,30,51,18,38,35.15,40.42,-5.27,166,7.11,10.38,36,8,38.92,45.62,Leganes,la liga
18,2020,2019,6,131,40,65,23,38,33.02,53.28,-20.25,309,7.25,12.22,33,9,40.46,65.17,Mallorca,la liga
19,2020,2019,10,148,27,58,23,38,34.03,47.92,-13.89,191,9.53,8.71,25,5,37.0,53.28,Espanyol,la liga
0,2021,2020,8,310,67,25,4,38,52.31,32.7,19.61,165,12.38,10.32,86,26,57.66,35.67,Atletico Madrid,la liga
1,2021,2020,9,326,67,28,4,38,62.84,32.75,30.09,171,14.03,10.14,84,25,65.07,38.7,Real Madrid,la liga
2,2021,2020,7,499,85,38,7,38,78.01,37.22,40.8,166,16.2,9.51,79,24,83.96,40.93,Barcelona,la liga
3,2021,2020,5,240,53,33,9,38,50.66,29.84,20.81,139,14.58,8.15,77,24,55.86,34.33,Sevilla,la liga
4,2021,2020,11,285,59,38,10,38,54.22,35.08,19.14,160,11.7,8.06,62,17,63.15,38.8,Real Sociedad,la liga
5,2021,2020,10,224,50,50,11,38,41.43,40.08,1.35,180,10.55,9.12,61,17,49.77,47.51,Real Betis,la liga
6,2021,2020,13,291,60,44,10,38,48.19,36.98,11.21,182,11.43,9.85,58,15,57.86,43.67,Villarreal,la liga
7,2021,2020,11,217,55,57,13,38,46.12,44.37,1.75,187,10.84,7.4,53,14,51.32,50.31,Celta Vigo,la liga
8,2021,2020,13,202,46,42,14,38,39.35,34.0,5.34,197,9.8,9.75,46,11,43.06,38.46,Athletic Club,la liga
9,2021,2020,7,128,47,65,18,38,37.34,50.61,-13.27,234,6.88,10.74,46,13,41.05,59.82,Granada,la liga
10,2021,2020,11,172,37,48,16,38,35.15,43.88,-8.74,243,8.73,10.91,44,11,39.61,49.83,Osasuna,la liga
11,2021,2020,11,77,36,58,16,38,33.73,51.48,-17.75,274,5.93,16.57,44,11,36.7,58.91,Cadiz,la liga
12,2021,2020,13,162,50,53,15,38,34.46,49.74,-15.28,262,8.81,10.94,43,10,41.89,55.69,Valencia,la liga
13,2021,2020,14,221,46,57,15,38,36.47,52.16,-15.69,245,10.22,9.47,41,9,40.93,55.13,Levante,la liga
14,2021,2020,11,134,28,43,18,38,31.91,34.32,-2.42,155,6.43,8.81,38,9,35.62,40.4,Getafe,la liga
15,2021,2020,11,119,36,57,18,38,33.17,49.32,-16.15,212,7.88,12.25,38,9,39.11,51.55,Alaves,la liga
16,2021,2020,12,78,34,55,18,38,28.17,54.2,-26.03,280,8.87,13.23,36,8,30.4,61.63,Elche,la liga
17,2021,2020,13,98,34,53,18,38,35.0,44.92,-9.92,215,8.53,11.32,34,7,37.98,48.64,SD Huesca,la liga
18,2021,2020,16,134,34,57,17,38,31.97,47.36,-15.39,243,7.97,10.57,31,5,37.92,52.56,Real Valladolid,la liga
19,2021,2020,12,149,29,52,20,38,35.64,45.12,-9.48,156,10.58,8.99,30,6,42.45,48.84,Eibar,la liga
0,2022,2021,8,465,80,31,4,38,71.3,41.97,29.33,211,14.56,11.61,86,26,80.22,45.78,Real Madrid,la liga
1,2022,2021,10,317,68,38,7,38,65.34,32.85,32.49,161,14.92,7.44,73,21,70.54,35.08,Barcelona,la liga
2,2022,2021,8,265,65,43,9,38,55.73,29.82,25.91,135,11.06,10.96,71,21,59.45,35.77,Atletico Madrid,la liga
3,2022,2021,16,192,53,30,4,38,44.62,37.62,7.0,184,13.76,8.84,70,18,46.85,40.6,Sevilla,la liga
4,2022,2021,8,273,62,40,11,38,51.44,44.56,6.89,191,10.89,9.46,65,19,55.9,46.79,Real Betis,la liga
5,2022,2021,11,268,40,37,10,38,48.65,37.05,11.6,189,11.25,8.7,62,17,56.09,41.51,Real Sociedad,la liga
6,2022,2021,11,324,63,37,11,38,65.87,44.18,21.7,165,11.02,8.83,59,16,70.33,47.89,Villarreal,la liga
7,2022,2021,13,231,43,36,11,38,51.65,37.06,14.59,178,9.66,10.06,55,14,57.01,39.29,Athletic Club,la liga
8,2022,2021,15,185,48,53,12,38,35.5,46.16,-10.66,203,6.37,8.71,48,11,42.28,52.24,Valencia,la liga
9,2022,2021,11,174,37,51,15,38,36.08,45.39,-9.3,233,10.38,9.79,47,12,42.03,50.59,Osasuna,la liga
10,2022,2021,10,230,43,43,16,38,40.23,40.07,0.15,196,11.09,7.63,46,12,44.94,46.12,Celta Vigo,la liga
11,2022,2021,9,158,39,50,18,38,44.06,45.46,-1.41,210,8.28,8.47,42,11,47.03,52.15,Rayo Vallecano,la liga
12,2022,2021,9,143,40,52,18,38,36.07,54.36,-18.28,235,8.81,12.42,42,11,36.81,61.07,Elche,la liga
13,2022,2021,12,150,40,53,16,38,35.18,53.4,-18.22,311,9.04,13.16,42,10,38.9,57.12,Espanyol,la liga
14,2022,2021,15,125,33,41,15,38,27.71,41.52,-13.81,185,7.92,11.47,39,8,31.55,44.49,Getafe,la liga
15,2022,2021,15,147,35,51,15,38,37.21,44.92,-7.71,261,8.24,12.71,39,8,41.8,54.74,Cadiz,la liga
16,2022,2021,9,188,36,63,19,38,35.38,50.07,-14.69,241,6.96,10.3,39,10,40.58,56.14,Mallorca,la liga
17,2022,2021,14,141,44,61,16,38,37.58,59.4,-21.82,279,8.3,10.67,38,8,41.3,66.09,Granada,la liga
18,2022,2021,11,185,51,76,19,38,47.77,58.15,-10.38,241,10.42,10.0,35,8,57.56,62.61,Levante,la liga
19,2022,2021,7,131,31,65,23,38,33.26,56.63,-23.37,283,7.7,11.42,31,8,38.46,63.57,Alaves,la liga
0,2015,2014,11,321,83,36,3,38,67.78,25.96,41.82,116,15.02,6.79,83,24,78.42,28.24,Paris Saint Germain,ligue 1
1,2015,2014,9,202,72,33,7,38,53.63,37.15,16.49,136,10.91,7.95,75,22,62.85,41.71,Lyon,ligue 1
2,2015,2014,11,228,51,26,7,38,51.29,32.92,18.37,132,9.67,8.02,71,20,56.61,37.62,Monaco,ligue 1
3,2015,2014,6,201,76,42,11,38,57.59,33.37,24.23,126,8.27,6.11,69,21,60.63,36.41,Marseille,ligue 1
4,2015,2014,12,198,51,30,7,38,41.17,33.67,7.5,124,10.52,8.79,69,19,46.49,38.24,Saint-Etienne,ligue 1
5,2015,2014,12,204,47,44,9,38,42.13,37.77,4.36,139,10.41,9.06,63,17,48.21,43.09,Bordeaux,ligue 1
6,2015,2014,8,152,46,39,14,38,40.83,39.31,1.52,166,5.9,8.65,56,16,45.39,42.45,Montpellier,ligue 1
7,2015,2014,8,170,43,42,14,38,34.81,41.94,-7.12,150,9.93,8.89,56,16,40.92,44.22,Lille,ligue 1
8,2015,2014,11,169,35,42,14,38,35.16,35.12,0.04,148,11.8,11.57,50,13,37.44,38.92,Rennes,ligue 1
9,2015,2014,4,122,41,55,19,38,32.53,39.8,-7.27,211,6.79,11.84,49,15,37.85,45.12,Guingamp,ligue 1
10,2015,2014,9,134,44,53,16,38,42.15,41.92,0.23,169,7.21,7.52,48,13,45.19,48.0,Nice,ligue 1
11,2015,2014,11,98,37,46,15,38,26.45,39.32,-12.87,201,8.24,8.79,47,12,30.25,44.64,SC Bastia,ligue 1
12,2015,2014,10,118,54,55,16,38,36.84,47.4,-10.56,229,6.93,11.12,46,12,41.4,59.07,Caen,ligue 1
13,2015,2014,12,124,29,40,15,38,31.5,36.58,-5.08,127,8.99,9.83,45,11,36.08,39.62,Nantes,ligue 1
14,2015,2014,8,131,47,66,18,38,41.17,53.23,-12.07,157,9.68,10.21,44,12,43.45,58.57,Reims,ligue 1
15,2015,2014,7,151,44,50,19,38,37.24,47.18,-9.95,187,9.81,11.98,43,12,41.04,52.5,Lorient,ligue 1
16,2015,2014,6,184,43,64,20,38,37.63,39.59,-1.95,165,7.91,7.36,42,12,40.67,45.67,Toulouse,ligue 1
17,2015,2014,4,104,41,62,23,38,32.38,48.53,-16.16,191,8.44,9.09,37,11,33.9,54.61,Evian Thonon Gaillard,ligue 1
18,2015,2014,9,132,31,61,22,38,29.81,44.89,-15.08,204,8.09,10.53,30,7,37.52,48.69,Metz,ligue 1
19,2015,2014,8,131,32,61,23,38,32.03,48.48,-16.46,196,8.18,9.53,29,7,38.41,55.32,Lens,ligue 1
0,2016,2015,6,341,102,19,2,38,79.96,22.09,57.87,121,18.25,6.32,96,30,86.2,24.37,Paris Saint Germain,ligue 1
1,2016,2015,8,294,67,43,11,38,59.97,36.49,23.48,114,12.87,6.05,65,19,63.01,38.01,Lyon,ligue 1
2,2016,2015,14,154,57,50,7,38,52.81,46.53,6.28,197,8.87,8.66,65,17,58.13,48.81,Monaco,ligue 1
3,2016,2015,9,167,58,41,11,38,41.43,43.91,-2.48,190,11.85,9.37,63,18,45.23,47.71,Nice,ligue 1
4,2016,2015,15,192,39,27,8,38,39.41,31.98,7.43,154,8.3,7.89,60,15,41.69,35.79,Lille,ligue 1
5,2016,2015,7,195,42,37,14,38,41.66,42.38,-0.72,190,10.89,7.99,58,17,45.46,44.66,Saint-Etienne,ligue 1
6,2016,2015,6,137,39,52,16,38,39.34,48.17,-8.83,234,6.72,12.32,54,16,43.9,49.69,Caen,ligue 1
7,2016,2015,13,169,52,54,12,38,37.44,44.74,-7.3,197,9.64,9.99,52,13,42.91,47.02,Rennes,ligue 1
8,2016,2015,11,99,40,38,14,38,31.26,37.22,-5.96,176,7.96,13.99,50,13,36.58,41.02,Angers,ligue 1
9,2016,2015,8,123,36,42,16,38,27.99,43.8,-15.8,209,7.28,11.29,50,14,29.51,48.36,SC Bastia,ligue 1
10,2016,2015,14,173,50,57,12,38,44.84,43.35,1.49,151,8.67,9.09,50,12,46.36,48.67,Bordeaux,ligue 1
11,2016,2015,7,155,49,47,17,38,40.86,42.05,-1.19,149,8.93,10.05,49,14,43.14,44.33,Montpellier,ligue 1
12,2016,2015,18,202,48,42,10,38,45.85,37.35,8.5,167,9.7,7.62,48,10,48.89,42.67,Marseille,ligue 1
13,2016,2015,12,198,33,44,14,38,36.4,38.64,-2.24,185,10.11,9.42,48,12,36.4,42.44,Nantes,ligue 1
14,2016,2015,13,171,47,58,14,38,36.99,50.03,-13.04,206,8.74,12.25,46,11,42.31,52.31,Lorient,ligue 1
15,2016,2015,11,157,47,56,16,38,38.31,40.95,-2.64,208,7.23,11.78,44,11,41.35,46.27,Guingamp,ligue 1
16,2016,2015,13,190,45,55,16,38,44.25,38.14,6.11,172,7.25,8.78,40,9,50.33,39.8,Toulouse,ligue 1
17,2016,2015,9,141,44,57,19,38,40.58,50.64,-10.06,170,8.95,9.67,39,10,42.87,52.92,Reims,ligue 1
18,2016,2015,13,171,37,58,17,38,29.48,41.46,-11.98,145,9.34,9.96,37,8,32.52,45.26,GFC Ajaccio,ligue 1
19,2016,2015,9,187,28,83,26,38,34.31,63.24,-28.93,281,9.32,11.76,18,3,36.59,73.28,Troyes,ligue 1
0,2017,2016,5,226,107,31,3,38,67.68,31.09,36.58,139,11.2,9.08,95,30,76.04,34.89,Monaco,ligue 1
1,2017,2016,6,329,83,27,5,38,74.56,21.97,52.59,95,18.08,7.6,87,27,82.16,24.25,Paris Saint Germain,ligue 1
2,2017,2016,12,198,63,36,4,38,45.46,47.85,-2.39,173,12.18,11.66,78,22,51.54,50.89,Nice,ligue 1
3,2017,2016,4,274,80,48,13,38,60.49,36.47,24.02,143,11.86,7.06,67,21,71.13,41.03,Lyon,ligue 1
4,2017,2016,11,197,57,41,10,38,50.79,45.8,4.98,185,11.96,8.75,62,17,53.83,47.33,Marseille,ligue 1
5,2017,2016,14,145,53,43,9,38,46.69,41.07,5.62,177,9.38,11.03,59,15,52.02,44.11,Bordeaux,ligue 1
6,2017,2016,9,174,40,54,15,38,39.95,37.78,2.16,159,9.54,9.53,51,14,42.99,44.62,Nantes,ligue 1
7,2017,2016,14,185,41,42,12,38,38.36,47.22,-8.87,171,10.4,9.52,50,12,42.92,50.26,Saint-Etienne,ligue 1
8,2017,2016,14,136,36,42,12,38,39.53,40.5,-0.97,163,10.49,9.79,50,12,41.81,43.54,Rennes,ligue 1
9,2017,2016,8,205,46,53,16,38,44.1,43.83,0.27,192,9.33,10.69,50,14,47.14,52.31,Guingamp,ligue 1
10,2017,2016,7,142,40,47,18,38,38.0,44.06,-6.06,185,9.58,9.91,46,13,44.08,48.77,Lille,ligue 1
11,2017,2016,7,178,40,49,18,38,43.15,39.5,3.66,150,10.39,13.15,46,13,46.19,41.02,Angers,ligue 1
12,2017,2016,14,147,37,41,14,38,34.19,36.14,-1.94,164,7.68,8.65,44,10,41.19,42.98,Toulouse,ligue 1
13,2017,2016,10,131,39,72,17,38,27.91,58.35,-30.44,261,8.04,12.81,43,11,34.76,63.68,Metz,ligue 1
14,2017,2016,9,187,48,66,19,38,41.92,46.71,-4.79,161,9.76,12.11,39,10,44.2,52.03,Montpellier,ligue 1
15,2017,2016,13,166,46,58,17,38,34.79,53.54,-18.75,222,9.51,10.84,37,8,38.59,62.66,Dijon,ligue 1
16,2017,2016,7,122,36,65,21,38,40.72,50.38,-9.67,213,8.79,11.12,37,10,45.28,56.47,Caen,ligue 1
17,2017,2016,6,172,44,70,22,38,39.79,47.32,-7.52,179,11.81,12.26,36,10,44.46,51.88,Lorient,ligue 1
18,2017,2016,8,121,29,52,21,38,30.3,48.37,-18.07,208,8.75,10.32,35,9,32.58,54.45,Nancy,ligue 1
19,2017,2016,10,100,29,57,20,38,31.51,51.93,-20.42,195,6.96,12.78,34,8,32.27,58.01,SC Bastia,ligue 1
0,2018,2017,6,478,108,29,3,38,83.08,28.3,54.79,118,16.05,7.36,93,29,89.92,32.1,Paris Saint Germain,ligue 1
1,2018,2017,8,214,85,45,6,38,56.19,41.47,14.72,170,11.02,8.11,80,24,62.41,45.27,Monaco,ligue 1
2,2018,2017,9,222,87,43,6,38,59.95,30.87,29.07,139,11.35,8.92,78,23,65.27,37.09,Lyon,ligue 1
3,2018,2017,11,243,80,47,5,38,76.12,36.61,39.51,134,12.27,7.24,77,22,82.2,41.17,Marseille,ligue 1
4,2018,2017,10,135,50,44,12,38,40.89,43.06,-2.17,173,10.77,9.64,58,16,46.97,49.14,Rennes,ligue 1
5,2018,2017,7,186,53,48,15,38,47.91,35.3,12.62,153,9.75,10.0,55,16,52.56,41.38,Bordeaux,ligue 1
6,2018,2017,10,198,47,50,13,38,42.67,47.94,-5.27,181,10.65,10.24,55,15,51.03,53.26,Saint-Etienne,ligue 1
7,2018,2017,9,177,53,52,14,38,39.63,42.1,-2.47,176,13.9,11.6,54,15,47.36,45.9,Nice,ligue 1
8,2018,2017,10,176,36,41,14,38,36.0,33.22,2.78,226,8.92,11.55,52,14,39.8,36.26,Nantes,ligue 1
9,2018,2017,18,152,36,33,9,38,38.29,33.37,4.92,169,9.12,12.65,51,11,39.81,37.93,Montpellier,ligue 1
10,2018,2017,9,215,55,73,16,38,36.22,52.28,-16.05,194,9.18,10.29,48,13,40.03,62.95,Dijon,ligue 1
11,2018,2017,11,173,48,59,15,38,36.54,45.11,-8.57,223,10.13,10.2,47,12,41.86,50.51,Guingamp,ligue 1
12,2018,2017,9,115,37,42,17,38,28.43,48.66,-20.23,276,7.38,11.42,45,12,31.47,51.7,Amiens,ligue 1
13,2018,2017,14,184,42,52,15,38,43.11,39.87,3.24,168,9.37,13.07,41,9,46.15,45.19,Angers,ligue 1
14,2018,2017,11,164,44,67,18,38,37.95,53.01,-15.06,192,9.13,9.25,38,9,43.27,58.33,Strasbourg,ligue 1
15,2018,2017,8,121,27,52,20,38,35.09,44.03,-8.93,195,8.53,9.57,38,10,41.17,47.83,Caen,ligue 1
16,2018,2017,8,163,41,67,20,38,34.61,54.04,-19.44,216,10.23,10.04,38,10,36.13,59.37,Lille,ligue 1
17,2018,2017,10,144,38,54,19,38,34.91,49.89,-14.99,200,8.0,9.36,37,9,43.29,54.45,Toulouse,ligue 1
18,2018,2017,6,157,32,59,23,38,34.85,48.67,-13.82,210,8.54,14.42,33,9,37.13,52.47,Troyes,ligue 1
19,2018,2017,8,158,34,76,24,38,33.36,68.01,-34.65,262,9.6,11.74,26,6,36.4,71.93,Metz,ligue 1
0,2019,2018,4,459,105,35,5,38,86.22,32.08,54.15,132,16.85,7.26,91,29,95.34,36.78,Paris Saint Germain,ligue 1
1,2019,2018,9,196,68,33,7,38,50.03,32.25,17.78,162,9.91,10.77,75,22,60.01,39.85,Lille,ligue 1
2,2019,2018,9,264,70,47,8,38,65.11,40.91,24.21,152,13.21,8.17,72,21,72.71,44.71,Lyon,ligue 1
3,2019,2018,9,197,59,41,10,38,54.05,41.97,12.08,185,11.37,9.53,66,19,57.85,48.81,Saint-Etienne,ligue 1
4,2019,2018,7,181,60,52,13,38,48.28,35.42,12.86,140,13.03,8.3,61,18,52.08,44.59,Marseille,ligue 1
5,2019,2018,14,192,53,42,9,38,44.34,37.33,7.01,178,10.21,10.97,59,15,46.62,41.26,Montpellier,ligue 1
6,2019,2018,11,135,30,35,12,38,36.51,45.17,-8.66,216,12.01,10.62,56,15,43.45,49.73,Nice,ligue 1
7,2019,2018,16,165,39,42,9,38,35.6,36.96,-1.36,176,8.41,12.08,55,13,37.12,42.28,Reims,ligue 1
8,2019,2018,8,151,57,58,15,38,43.94,51.67,-7.73,189,7.93,10.78,53,15,48.5,55.47,Nimes,ligue 1
9,2019,2018,13,187,55,52,12,38,48.3,42.31,5.99,207,10.95,10.49,52,13,56.05,46.19,Rennes,ligue 1
10,2019,2018,16,156,58,48,11,38,35.22,41.57,-6.35,182,11.71,11.44,49,11,40.59,48.51,Strasbourg,ligue 1
11,2019,2018,9,166,48,48,16,38,41.96,41.07,0.89,182,9.46,9.64,48,13,48.04,47.3,Nantes,ligue 1
12,2019,2018,16,189,44,49,12,38,39.75,42.41,-2.65,204,9.53,15.42,46,10,47.5,46.31,Angers,ligue 1
13,2019,2018,11,159,34,42,17,38,32.68,46.87,-14.18,188,9.73,10.21,41,10,37.27,52.19,Bordeaux,ligue 1
14,2019,2018,11,146,31,52,18,38,32.35,39.91,-7.56,213,8.87,10.55,38,9,34.63,46.76,Amiens,ligue 1
15,2019,2018,14,174,35,57,16,38,34.37,51.86,-17.49,209,9.19,10.47,38,8,42.73,56.42,Toulouse,ligue 1
16,2019,2018,12,184,38,57,18,38,42.69,42.66,0.04,169,10.78,9.87,36,8,46.49,48.76,Monaco,ligue 1
17,2019,2018,7,199,31,60,22,38,32.97,55.33,-22.36,214,10.01,10.26,34,9,36.13,57.61,Dijon,ligue 1
18,2019,2018,12,98,29,54,19,38,23.93,55.01,-31.07,224,8.47,11.86,33,7,26.97,61.09,Caen,ligue 1
19,2019,2018,12,151,28,68,21,38,34.81,50.38,-15.56,227,8.27,12.26,27,5,39.46,54.94,Guingamp,ligue 1
0,2020,2019,2,324,75,24,3,27,70.34,22.43,47.9,100,18.38,6.88,68,22,76.42,22.43,Paris Saint Germain,ligue 1
1,2020,2019,8,145,41,29,4,28,31.86,28.25,3.62,86,11.77,8.56,56,16,36.42,32.05,Marseille,ligue 1
2,2020,2019,5,121,38,24,8,28,30.43,24.35,6.08,132,10.0,10.63,50,15,34.37,28.15,Rennes,ligue 1
3,2020,2019,4,141,35,27,9,28,34.61,25.61,9.01,124,12.94,9.52,49,15,40.81,30.17,Lille,ligue 1
4,2020,2019,11,131,26,21,7,28,25.13,21.67,3.46,109,9.88,12.07,41,10,28.93,26.47,Reims,ligue 1
5,2020,2019,8,110,41,38,9,28,32.65,37.37,-4.72,170,12.3,11.01,41,11,36.45,42.69,Nice,ligue 1
6,2020,2019,7,152,42,27,10,28,31.68,22.45,9.24,121,14.16,9.89,40,11,36.24,24.73,Lyon,ligue 1
7,2020,2019,7,119,35,34,10,28,31.15,28.46,2.69,141,10.1,10.28,40,11,34.95,32.26,Montpellier,ligue 1
8,2020,2019,7,211,44,44,10,28,45.51,36.5,9.01,119,11.85,10.6,40,11,48.55,41.06,Monaco,ligue 1
9,2020,2019,6,132,28,33,11,28,26.34,25.87,0.48,117,10.37,16.4,39,11,27.1,28.15,Angers,ligue 1
10,2020,2019,5,133,32,32,11,27,31.52,28.14,3.37,100,10.75,11.25,38,11,34.56,33.46,Strasbourg,ligue 1
11,2020,2019,10,91,40,34,9,28,28.95,32.92,-3.97,156,11.65,9.49,37,9,30.47,35.2,Bordeaux,ligue 1
12,2020,2019,4,110,28,31,13,28,26.29,25.57,0.73,122,9.98,11.92,37,11,27.81,30.26,Nantes,ligue 1
13,2020,2019,10,149,34,37,10,28,26.25,39.55,-13.3,154,11.57,11.36,34,8,30.05,44.11,Brest,ligue 1
14,2020,2019,10,92,27,35,10,28,21.61,33.5,-11.89,145,8.85,13.82,34,8,24.65,36.54,Metz,ligue 1
15,2020,2019,9,111,27,37,12,28,26.62,38.54,-11.92,176,8.81,12.28,30,7,27.38,39.3,Dijon,ligue 1
16,2020,2019,6,93,29,45,14,28,25.85,33.17,-7.31,133,9.97,10.22,30,8,29.65,37.73,Saint-Etienne,ligue 1
17,2020,2019,6,109,29,44,15,28,28.67,37.43,-8.76,159,8.14,10.47,27,7,30.19,40.47,Nimes,ligue 1
18,2020,2019,11,101,31,50,13,28,21.69,37.67,-15.97,148,9.25,11.55,23,4,25.62,38.43,Amiens,ligue 1
19,2020,2019,4,115,22,58,21,28,26.73,44.47,-17.74,178,9.34,12.78,13,3,31.29,48.28,Toulouse,ligue 1
0,2021,2020,11,224,64,23,3,38,44.27,24.16,20.11,131,14.23,10.79,83,24,48.07,25.68,Lille,ligue 1
1,2021,2020,4,355,86,28,8,38,74.01,35.33,38.67,155,18.04,7.57,82,26,83.89,36.85,Paris Saint Germain,ligue 1
2,2021,2020,6,322,76,42,8,38,58.8,30.15,28.65,117,14.88,8.76,78,24,70.35,33.95,Monaco,ligue 1
3,2021,2020,10,372,81,43,6,38,74.01,33.1,40.91,150,13.91,9.69,76,22,82.37,38.42,Lyon,ligue 1
4,2021,2020,12,200,54,47,10,38,43.97,44.21,-0.24,179,12.5,9.49,60,16,49.29,46.49,Marseille,ligue 1
5,2021,2020,10,249,52,40,12,38,44.47,33.02,11.45,152,15.72,9.62,58,16,46.75,36.06,Rennes,ligue 1
6,2021,2020,12,196,55,54,11,38,47.24,38.05,9.19,176,11.25,10.43,57,15,56.36,46.41,Lens,ligue 1
7,2021,2020,12,144,60,62,12,38,48.47,58.1,-9.63,296,10.54,13.87,54,14,52.27,67.22,Montpellier,ligue 1
8,2021,2020,7,215,50,53,16,38,41.05,50.86,-9.81,206,13.51,10.89,52,15,46.37,56.18,Nice,ligue 1
9,2021,2020,11,116,44,48,15,38,33.9,38.52,-4.62,219,9.12,12.62,47,12,42.26,48.4,Metz,ligue 1
10,2021,2020,10,141,42,54,16,38,40.35,42.31,-1.95,188,8.8,10.7,46,12,47.28,49.15,Saint-Etienne,ligue 1
11,2021,2020,6,157,42,56,19,38,40.51,48.79,-8.28,227,12.06,12.49,45,13,43.55,54.87,Bordeaux,ligue 1
12,2021,2020,8,146,40,58,18,38,35.36,46.73,-11.38,190,10.47,14.4,44,12,39.92,52.81,Angers,ligue 1
13,2021,2020,15,139,42,50,14,38,29.43,55.71,-26.28,238,10.54,14.04,42,9,33.23,61.79,Reims,ligue 1
14,2021,2020,9,200,49,58,18,38,43.41,44.14,-0.73,190,10.41,13.3,42,11,52.78,50.22,Strasbourg,ligue 1
15,2021,2020,9,141,50,68,18,38,40.55,44.12,-3.56,233,9.53,12.24,42,11,48.15,52.48,Lorient,ligue 1
16,2021,2020,8,229,50,66,19,38,42.73,49.65,-6.92,247,11.76,12.68,41,11,45.77,58.02,Brest,ligue 1
17,2021,2020,13,160,47,55,16,38,41.43,45.77,-4.34,215,8.56,12.73,40,9,48.27,54.89,Nantes,ligue 1
18,2021,2020,8,168,40,71,21,38,35.31,56.24,-20.92,230,8.44,13.47,35,9,41.39,64.17,Nimes,ligue 1
19,2021,2020,9,140,25,73,25,38,28.05,68.37,-40.32,275,9.77,13.93,21,4,31.85,76.12,Dijon,ligue 1
0,2022,2021,8,383,90,36,4,38,76.25,35.72,40.53,151,18.21,9.52,86,26,82.34,38.0,Paris Saint Germain,ligue 1
1,2022,2021,8,258,63,38,9,38,52.27,39.75,12.52,154,18.24,10.82,71,21,59.87,42.79,Marseille,ligue 1
2,2022,2021,9,324,65,40,9,38,56.74,35.67,21.07,157,13.51,8.68,69,20,63.58,42.51,Monaco,ligue 1
3,2022,2021,7,189,52,36,11,38,52.0,41.15,10.85,185,13.31,11.87,67,20,59.6,44.95,Nice,ligue 1
4,2022,2021,6,294,82,40,12,38,65.2,39.21,26.0,157,16.83,9.77,66,20,68.24,43.77,Rennes,ligue 1
5,2022,2021,12,252,60,43,9,38,55.12,41.64,13.48,150,12.63,11.37,63,17,61.2,44.68,Strasbourg,ligue 1
6,2022,2021,11,310,66,51,10,38,67.24,48.47,18.77,195,14.25,8.87,62,17,73.32,54.69,Lyon,ligue 1
7,2022,2021,11,219,62,48,10,38,48.44,39.89,8.54,194,13.88,12.15,62,17,52.24,43.7,Lens,ligue 1
8,2022,2021,10,155,55,48,13,38,41.97,48.21,-6.24,240,10.78,13.06,55,15,45.77,53.53,Nantes,ligue 1
9,2022,2021,13,218,48,48,11,38,52.59,32.41,20.18,180,11.52,11.3,55,14,56.39,36.97,Lille,ligue 1
10,2022,2021,9,168,49,57,16,38,38.75,57.53,-18.78,265,9.99,15.67,48,13,44.85,60.57,Brest,ligue 1
11,2022,2021,13,152,43,44,14,38,35.3,42.45,-7.15,214,8.83,13.93,46,11,40.01,47.79,Reims,ligue 1
12,2022,2021,7,167,49,61,19,38,39.43,52.94,-13.52,262,9.93,12.37,43,12,42.47,57.5,Montpellier,ligue 1
13,2022,2021,11,134,44,55,17,38,38.37,47.89,-9.52,185,10.72,12.86,41,10,45.21,51.69,Angers,ligue 1
14,2022,2021,11,141,37,53,18,38,34.34,45.39,-11.05,268,9.15,15.22,38,9,39.66,52.99,Troyes,ligue 1
15,2022,2021,12,163,35,63,18,38,37.04,49.94,-12.9,221,9.83,13.35,36,8,39.32,54.5,Lorient,ligue 1
16,2022,2021,9,159,38,69,20,38,39.66,52.05,-12.39,212,10.86,13.47,36,9,42.07,55.85,Clermont Foot,ligue 1
17,2022,2021,11,146,42,77,20,38,36.38,58.68,-22.3,196,9.59,10.89,32,7,40.18,64.76,Saint-Etienne,ligue 1
18,2022,2021,13,84,35,69,19,38,29.39,67.85,-38.46,265,9.15,13.57,31,6,30.15,71.65,Metz,ligue 1
19,2022,2021,13,173,52,91,19,38,43.24,62.84,-19.59,238,10.86,11.64,31,6,46.28,69.82,Bordeaux,ligue 1
0,2015,2014,9,334,72,24,3,38,52.23,25.22,27.01,152,11.25,7.94,87,26,59.08,29.13,Juventus,serie a
1,2015,2014,13,266,54,31,6,38,45.52,32.98,12.54,175,12.82,7.55,70,19,50.85,36.79,Roma,serie a
2,2015,2014,6,214,71,38,11,38,58.19,31.3,26.89,173,9.93,6.77,69,21,62.0,35.87,Lazio,serie a
3,2015,2014,10,309,61,46,10,38,55.31,46.22,9.09,170,11.28,7.4,64,18,60.67,48.5,Fiorentina,serie a
