,League,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Wins,Estimated_Draws,Estimated_Loses,Estimated_Points_Extended,Delta_Points_Extended
144,epl,Arsenal,2021,2022,38,22,3,13,61,48,69,20.0,7.0,11.0,67.0,2.0
145,epl,Manchester United,2021,2022,38,16,10,12,57,57,58,18.0,7.0,13.0,62.0,-4.0
146,epl,West Ham,2021,2022,38,16,8,14,60,51,56,19.0,7.0,12.0,65.0,-9.0
147,epl,Leicester,2021,2022,38,14,10,14,62,59,52,18.0,7.0,13.0,62.0,-10.0
148,epl,Brighton,2021,2022,38,12,15,11,42,44,51,18.0,9.0,11.0,62.0,-11.0
149,epl,Wolverhampton Wanderers,2021,2022,38,15,6,17,38,43,51,17.0,9.0,12.0,62.0,-11.0
150,epl,Newcastle United,2021,2022,38,13,10,15,44,62,49,16.0,7.0,15.0,56.0,-7.0
151,epl,Crystal Palace,2021,2022,38,11,15,12,50,46,48,19.0,8.0,11.0,64.0,-16.0
152,epl,Brentford,2021,2022,38,13,7,18,48,56,46,17.0,7.0,14.0,60.0,-14.0
153,epl,Aston Villa,2021,2022,38,13,6,19,52,54,45,18.0,7.0,13.0,62.0,-17.0
154,epl,Southampton,2021,2022,38,9,13,16,43,67,40,15.0,7.0,16.0,54.0,-14.0
155,epl,Everton,2021,2022,38,11,6,21,43,66,39,16.0,7.0,15.0,54.0,-15.0
156,epl,Leeds,2021,2022,38,9,11,18,42,79,38,14.0,7.0,17.0,50.0,-12.0
157,epl,Burnley,2021,2022,38,7,14,17,34,53,35,15.0,9.0,14.0,56.0,-21.0
158,epl,Watford,2021,2022,38,6,5,27,34,77,23,13.0,7.0,18.0,47.0,-24.0
159,epl,Norwich,2021,2022,38,5,7,26,23,84,22,10.0,8.0,20.0,40.0,-18.0
160,bundesliga,Bayern Munich,2014,2015,34,25,4,5,80,18,79,24.0,8.0,2.0,80.0,-1.0
161,bundesliga,Wolfsburg,2014,2015,34,20,9,5,72,38,69,20.0,7.0,7.0,66.0,3.0
162,bundesliga,Borussia M.Gladbach,2014,2015,34,19,9,6,53,26,66,20.0,9.0,5.0,69.0,-3.0
163,bundesliga,Bayer Leverkusen,2014,2015,34,17,10,7,62,37,61,19.0,7.0,8.0,65.0,-4.0
164,bundesliga,Augsburg,2014,2015,34,15,4,15,43,43,49,16.0,8.0,10.0,57.0,-8.0
165,bundesliga,Schalke 04,2014,2015,34,13,9,12,42,40,48,16.0,8.0,10.0,58.0,-10.0
166,bundesliga,Borussia Dortmund,2014,2015,34,13,7,14,47,42,46,17.0,8.0,9.0,59.0,-13.0
167,bundesliga,Hoffenheim,2014,2015,34,12,8,14,49,55,44,15.0,7.0,12.0,54.0,-10.0
168,bundesliga,Eintracht Frankfurt,2014,2015,34,11,10,13,56,62,43,16.0,6.0,12.0,54.0,-11.0
169,bundesliga,Werder Bremen,2014,2015,34,11,10,13,50,65,43,15.0,6.0,13.0,51.0,-8.0
170,bundesliga,Mainz 05,2014,2015,34,9,13,12,45,47,40,16.0,8.0,10.0,55.0,-15.0
171,bundesliga,FC Cologne,2014,2015,34,9,13,12,34,40,40,15.0,9.0,10.0,55.0,-15.0
172,bundesliga,Hannover 96,2014,2015,34,9,10,15,40,56,37,14.0,7.0,13.0,51.0,-14.0
173,bundesliga,VfB Stuttgart,2014,2015,34,9,9,16,42,60,36,14.0,7.0,13.0,50.0,-14.0
174,bundesliga,Hertha Berlin,2014,2015,34,9,8,17,36,52,35,14.0,8.0,12.0,51.0,-16.0
