,Test points,name,Decision tree points,Random forest points,XGBoost points,Polynomial points
660,6.67,David López,6.787166666666666,6.8313000000000015,6.8937864,6.314602075428217
661,6.72,Dries Mertens,6.581626016260165,6.5921999999999965,6.60563,6.627201105213129
662,6.8,Christian Maggio,6.784204545454545,6.780400000000001,6.7507176,6.703182336071936
663,6.54,Omar El Kaddouri,6.614069767441865,6.550699999999998,6.523781,6.387413508882729
664,7.07,Mirko Valdifiori,7.138260869565219,7.0986,7.0564165,7.33144092238776
665,6.7,Ivan Strinic,6.733636363636363,6.839000000000001,6.694353,6.553858462710538
666,6.83,Jorginho,6.381315789473682,6.255100000000001,6.440641,6.84676120613245
667,6.76,Kalidou Koulibaly,6.8496969696969705,7.016699999999995,6.9887085,6.7716533020011695
668,6.36,Nikola Maksimovic,6.464285714285714,6.3889,6.339568,6.543877332638608
669,6.95,Marek Hamsik,6.860833333333333,6.8553999999999995,6.890409,6.786814536009702
670,6.61,Lorenzo Tonelli,6.574358974358975,6.513900000000002,6.5183773,6.765697791567657
671,6.68,Lorenzo Insigne,6.609148936170212,6.644700000000005,6.7164264,6.780782965718489
672,7.08,Vlad Chiriches,6.688461538461539,6.868100000000003,6.7828975,7.182973615459359
673,6.82,Dries Mertens,6.6135,6.1928,6.139414,6.7738040610659445
674,5.67,José Callejón,6.3595000000000015,6.023699999999996,6.141403,5.511004834606793
675,6.79,Piotr Zielinski,6.808219178082192,6.773199999999998,6.8125877,6.6682553835218785
676,6.29,Allan,6.426938775510205,6.3374000000000015,6.345724,6.154062317179338
677,6.4,Kalidou Koulibaly,6.4750847457627145,6.4670000000000005,6.419456,6.415368831708891
678,6.66,Faouzi Ghoulam,6.917692307692308,6.9436000000000035,6.9009175,6.611750170267287
679,6.68,Arkadiusz Milik,6.971944444444444,6.832800000000001,6.826268,6.768011126893949
680,6.22,Ivan Strinic,6.381315789473682,6.204700000000006,6.261961,6.229063243850034
681,6.34,Rafael Cabral,6.433763440860214,6.414099999999999,6.3339057,6.328336413512602
682,6.65,Elseid Hysaj,6.464285714285714,6.5311,6.492441,6.59628885611857
683,6.1,Raúl Albiol,6.275555555555554,6.318100000000002,6.2444444,5.876211587907521
684,6.78,Jorginho,6.798059701492538,6.787500000000002,6.849486,6.849145045990153
685,6.34,Emanuele Giaccherini,6.275555555555554,6.348500000000005,6.365166,6.571186942478174
686,6.83,Christian Maggio,7.056964285714285,6.846000000000004,6.9099073,7.140119950650293
687,7.02,Manolo Gabbiadini,6.676818181818181,6.7977,6.8754535,6.916491585118425
688,6.8,Amadou Diawara,6.965294117647057,6.880900000000001,6.952901,6.833129197360572
689,7.38,Marko Rog,6.992183908045976,7.035400000000001,7.109896,7.436283336646599
690,7.23,Mário Rui,7.056964285714285,7.0695000000000014,7.14054,7.02887298325408
691,6.63,Lorenzo Tonelli,6.861333333333332,6.8059,6.811883,6.540425011407577
692,6.64,Amadou Diawara,6.7822499999999994,6.877200000000001,6.8558636,6.527802169089816
693,6.15,Faouzi Ghoulam,6.275555555555554,6.332100000000002,6.3131113,5.927654064232085
694,6.46,Kalidou Koulibaly,6.614069767441865,6.524399999999996,6.4732704,6.518274955115001
695,7.38,Raúl Albiol,6.982622950819672,7.0120999999999984,6.972079,7.512815346529934
696,6.58,Arkadiusz Milik,6.593999999999999,6.541099999999997,6.5131454,6.5161043486278665
697,6.24,Marek Hamsik,6.0805,6.4353,6.523604,6.101946913393315
698,6.46,Dries Mertens,6.581626016260165,6.5024,6.485422,6.4690073856185775
699,6.78,José Callejón,6.784204545454545,6.8519000000000005,6.8357935,6.807168168535192
700,7.08,Allan,6.733636363636363,6.740999999999998,6.8673573,7.043239815126613
