,Team,player_number,Year_start,Year_end,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
11,Manchester City,8137,2009,2010,17(1),17,1.0,1565,1,1,1,0,0.4,73.2,2.2,0,7.02
12,Manchester City,836,2009,2010,23,23,0.0,1897,0,0,2,0,0.7,73.6,1.0,0,7.01
13,Manchester City,14168,2009,2010,19(4),19,4.0,1647,3,1,2,0,0.8,76.5,2.7,0,7.01
14,Manchester City,2703,2009,2010,19(11),19,11.0,1748,4,7,2,0,1.3,72.1,0.2,1,7.0
15,Manchester City,4608,2009,2010,30(4),30,4.0,2631,0,0,7,0,0.4,84.9,0.4,0,6.98
16,Manchester City,3987,2009,2010,1(1),1,1.0,126,0,1,0,0,1.0,71.9,1.5,0,6.89
17,Manchester City,6210,2009,2010,7(2),7,2.0,634,1,0,1,0,0.4,82.3,0.4,0,6.88
18,Manchester City,14169,2009,2010,16(6),16,6.0,1453,2,2,0,0,0.7,76.0,0.2,0,6.81
19,Manchester City,2910,2009,2010,8(8),8,8.0,724,4,3,0,0,1.8,81.1,0.0,0,6.79
20,Manchester City,11669,2009,2010,5(5),5,5.0,571,1,1,0,0,0.4,71.8,0.3,0,6.73
21,Manchester City,1034,2009,2010,35,35,0.0,3136,0,0,2,0,0.0,43.2,0.1,2,6.68
22,Manchester City,14247,2009,2010,6(4),6,4.0,542,0,3,0,0,2.3,81.4,0.0,0,6.68
23,Manchester City,130,2009,2010,6(3),6,3.0,484,0,0,2,0,0.6,82.4,0.3,0,6.53
24,Manchester City,954,2009,2010,6(13),6,13.0,636,3,0,1,0,1.0,70.5,1.9,2,6.51
25,Manchester City,43073,2009,2010,0(1),0,1.0,14,0,0,0,0,0.0,22.2,0.0,0,6.42
26,Manchester City,83032,2009,2010,1(2),1,2.0,124,0,0,1,0,0.0,71.8,0.3,0,6.33
27,Manchester City,83211,2009,2010,0(1),0,1.0,14,0,0,0,0,1.0,66.7,0.0,0,6.16
28,Manchester City,85465,2009,2010,0(1),0,1.0,7,0,0,0,0,1.0,100.0,0.0,0,6.07
29,Manchester City,83394,2009,2010,0(2),0,2.0,2,0,0,0,0,0.0,100.0,0.0,0,6.0
30,Manchester City,22606,2009,2010,0(1),0,1.0,1,0,0,0,0,0.0,66.7,0.0,0,5.99
0,Manchester United,3859,2009,2010,32,32,0.0,2723,26,3,6,0,5.7,73.6,0.8,5,7.91
1,Manchester United,4092,2009,2010,8,8,0.0,683,1,1,2,0,0.4,77.7,1.0,0,7.82
2,Manchester United,9685,2009,2010,24,24,0.0,2107,1,0,7,1,0.5,83.2,4.5,1,7.59
3,Manchester United,31856,2009,2010,2,2,0.0,148,0,0,0,0,0.5,75.7,2.0,0,7.53
4,Manchester United,19104,2009,2010,19(4),19,4.0,1590,4,6,1,1,2.7,75.4,0.4,2,7.49
5,Manchester United,18296,2009,2010,29(5),29,5.0,2615,5,7,3,0,1.1,82.9,0.9,6,7.47
6,Manchester United,77,2009,2010,20(5),20,5.0,1815,5,9,0,0,1.2,74.1,0.3,4,7.44
7,Manchester United,6410,2009,2010,37(1),37,1.0,3288,0,3,5,0,0.8,80.1,1.8,2,7.42
8,Manchester United,2213,2009,2010,24(9),24,9.0,2096,12,5,1,0,3.0,77.9,1.3,6,7.41
9,Manchester United,22079,2009,2010,18,18,0.0,1587,0,0,2,0,0.4,80.8,2.7,1,7.37
10,Manchester United,5835,2009,2010,29(1),29,1.0,2577,4,4,4,1,1.2,84.5,0.9,0,7.33
11,Manchester United,7884,2009,2010,8,8,0.0,720,0,0,0,0,0.0,52.2,0.1,0,7.15
12,Manchester United,11,2009,2010,24(4),24,4.0,1948,3,3,8,1,1.5,89.2,0.2,2,7.11
13,Manchester United,1019,2009,2010,18(1),18,1.0,1573,0,0,2,0,0.2,79.6,1.8,0,7.08
14,Manchester United,3101,2009,2010,21,21,0.0,1890,0,0,0,0,0.0,60.9,0.0,0,7.04
15,Manchester United,2115,2009,2010,22(8),22,8.0,2112,3,2,1,0,1.1,84.8,0.3,1,7.03
16,Manchester United,119,2009,2010,15(2),15,2.0,1355,0,1,3,0,0.2,82.3,0.8,0,6.99
17,Manchester United,928,2009,2010,12(1),12,1.0,1083,0,0,0,0,0.3,79.7,1.8,0,6.92
18,Manchester United,30395,2009,2010,6(9),6,9.0,588,2,2,2,0,2.2,80.8,0.4,0,6.86
19,Manchester United,3203,2009,2010,10(7),10,7.0,968,3,1,0,0,1.2,81.6,0.6,0,6.85
20,Manchester United,21723,2009,2010,10(4),10,4.0,865,1,2,1,0,0.8,79.8,0.4,0,6.84
21,Manchester United,11530,2009,2010,9,9,0.0,810,0,0,0,0,0.0,52.5,0.0,0,6.72
22,Manchester United,3841,2009,2010,12(3),12,3.0,1117,1,1,0,0,0.1,75.4,0.7,0,6.63
23,Manchester United,44031,2009,2010,1(4),1,4.0,148,0,0,0,0,0.2,80.5,0.2,0,6.5
24,Manchester United,71330,2009,2010,1(4),1,4.0,127,1,1,0,0,0.6,74.4,0.2,0,6.43
25,Manchester United,7,2009,2010,5(14),5,14.0,607,3,0,0,0,1.1,90.7,0.1,0,6.42
26,Manchester United,26013,2009,2010,0(5),0,5.0,90,1,0,1,0,1.6,85.0,0.4,0,6.4
27,Manchester United,22818,2009,2010,1(6),1,6.0,164,0,0,0,0,0.7,84.3,0.3,0,6.3
28,Manchester United,39308,2009,2010,1(4),1,4.0,137,0,0,0,0,1.2,89.8,0.0,0,6.21
29,Manchester United,553,2009,2010,0(1),0,1.0,1,0,0,0,0,0.0,0.0,1.0,0,6.0
0,Tottenham,13812,2009,2010,18(5),18,5.0,1707,3,5,2,0,1.7,64.9,2.0,2,7.64
1,Tottenham,4905,2009,2010,25(4),25,4.0,2334,2,0,4,0,0.5,73.3,3.9,2,7.58
2,Tottenham,8194,2009,2010,33,33,0.0,2851,2,3,8,0,2.5,78.9,0.8,1,7.48
3,Tottenham,24711,2009,2010,1,1,0.0,46,1,0,0,0,1.0,85.7,1.0,0,7.42
4,Tottenham,7411,2009,2010,19(5),19,5.0,1661,6,6,3,0,2.2,79.2,0.4,0,7.39
5,Tottenham,5625,2009,2010,20(2),20,2.0,1805,3,9,1,0,1.1,84.0,0.0,1,7.33
6,Tottenham,11580,2009,2010,29(1),29,1.0,2535,1,2,5,0,0.4,75.7,1.0,2,7.33
7,Tottenham,20874,2009,2010,21(4),21,4.0,1916,3,3,2,0,2.0,86.1,0.2,2,7.3
8,Tottenham,2813,2009,2010,6(1),6,1.0,613,0,0,0,0,0.0,45.9,0.3,0,7.28
9,Tottenham,3807,2009,2010,21(17),21,17.0,2209,8,6,1,0,2.6,60.3,5.6,4,7.27
10,Tottenham,10133,2009,2010,31,31,0.0,2717,0,0,2,0,0.0,51.1,0.1,2,7.21
11,Tottenham,562,2009,2010,19(1),19,1.0,1548,2,0,1,0,0.6,76.8,2.5,3,7.21
12,Tottenham,6162,2009,2010,11(4),11,4.0,985,2,1,1,0,2.3,79.5,0.3,0,7.19
13,Tottenham,31549,2009,2010,29(4),29,4.0,2533,1,1,8,0,0.7,83.8,0.7,0,7.14
14,Tottenham,22040,2009,2010,29,29,0.0,2556,1,2,3,0,0.3,77.5,1.0,0,7.12
15,Tottenham,2837,2009,2010,31(3),31,3.0,2570,18,4,3,1,3.3,78.9,0.1,2,7.1
16,Tottenham,19247,2009,2010,25(3),25,3.0,2295,1,0,2,0,0.5,80.4,3.3,0,7.07
17,Tottenham,14805,2009,2010,8(2),8,2.0,785,0,0,2,0,0.7,68.5,2.0,0,7.05
18,Tottenham,112,2009,2010,3,3,0.0,194,0,0,0,0,0.3,79.2,1.3,0,7.05
19,Tottenham,69778,2009,2010,2,2,0.0,180,0,0,0,0,0.0,72.2,1.0,0,6.92
20,Tottenham,7336,2009,2010,8(8),8,8.0,747,5,2,1,0,2.6,74.9,0.6,2,6.82
21,Tottenham,3837,2009,2010,9(10),9,10.0,932,1,2,6,0,0.8,88.6,0.2,0,6.82
22,Tottenham,88,2009,2010,15(5),15,5.0,1160,6,2,1,0,1.2,83.7,0.2,1,6.76
23,Tottenham,6434,2009,2010,1(7),1,7.0,233,0,0,2,0,0.3,73.0,0.5,0,6.44
24,Tottenham,8180,2009,2010,1,1,0.0,90,0,0,0,0,0.0,69.7,0.0,0,6.42
25,Tottenham,23,2009,2010,3(8),3,8.0,383,1,0,0,0,0.7,87.4,0.0,0,6.3
26,Tottenham,28112,2009,2010,0(1),0,1.0,12,0,0,0,0,0.0,75.0,0.0,0,6.09
27,Tottenham,14171,2009,2010,0(2),0,2.0,9,0,0,0,0,0.5,100.0,0.0,0,6.05
28,Tottenham,36849,2009,2010,0(1),0,1.0,1,0,0,0,0,0.0,100.0,0.0,0,6.0
29,Tottenham,34131,2009,2010,0(1),0,1.0,1,0,0,0,0,0.0,0.0,0.0,0,6.0
0,Arsenal,4564,2010,2011,19(6),19,6.0,1768,18,7,4,0,3.9,79.7,1.1,6,7.56
1,Arsenal,8040,2010,2011,22(3),22,3.0,1887,3,11,5,0,2.8,80.5,0.2,2,7.55
2,Arsenal,10599,2010,2011,30(1),30,1.0,2595,4,2,7,1,0.7,86.2,1.3,2,7.38
3,Arsenal,6042,2010,2011,33,33,0.0,2970,0,1,3,0,0.4,80.3,1.7,1,7.34
4,Arsenal,13298,2010,2011,28(2),28,2.0,2392,10,1,4,0,2.7,87.6,0.1,4,7.31
5,Arsenal,10209,2010,2011,5,5,0.0,450,0,1,0,0,2.0,88.3,3.8,0,7.26
6,Arsenal,19471,2010,2011,33,33,0.0,2969,1,3,2,1,0.6,87.0,2.2,0,7.16
7,Arsenal,18214,2010,2011,13(3),13,3.0,962,2,3,1,1,1.0,90.6,1.1,1,7.08
8,Arsenal,4599,2010,2011,25(12),25,12.0,2197,6,11,1,0,1.9,75.0,0.1,1,7.06
9,Arsenal,42686,2010,2011,31(4),31,4.0,2652,1,3,7,1,0.8,86.1,0.3,0,7.05
10,Arsenal,30051,2010,2011,30,30,0.0,2619,2,0,5,2,0.4,85.2,2.7,1,7.04
11,Arsenal,11680,2010,2011,20(2),20,2.0,1796,1,0,3,0,0.4,90.1,2.0,0,6.97
12,Arsenal,13796,2010,2011,19(9),19,9.0,1696,9,7,0,0,2.4,82.9,0.1,2,6.92
13,Arsenal,6236,2010,2011,18(11),18,11.0,1846,7,4,5,0,1.8,78.1,2.2,2,6.91
14,Arsenal,73379,2010,2011,15,15,0.0,1350,0,0,1,0,0.0,48.1,0.1,0,6.8
15,Arsenal,3929,2010,2011,20(2),20,2.0,1818,1,0,1,0,0.5,87.3,1.3,1,6.76
16,Arsenal,20973,2010,2011,14,14,0.0,1260,0,1,0,0,0.0,44.9,0.1,0,6.75
17,Arsenal,845,2010,2011,8(13),8,13.0,929,0,1,3,0,1.1,87.8,0.2,0,6.67
18,Arsenal,628,2010,2011,1,1,0.0,90,0,0,0,0,0.0,45.8,0.0,0,6.6
19,Arsenal,27550,2010,2011,4(3),4,3.0,345,0,0,1,0,0.4,84.3,1.6,0,6.55
20,Arsenal,22649,2010,2011,6(10),6,10.0,622,0,0,4,0,0.7,90.8,0.5,0,6.53
21,Arsenal,8039,2010,2011,8(5),8,5.0,705,1,0,4,0,0.4,85.7,0.4,0,6.53
22,Arsenal,13819,2010,2011,3(14),3,14.0,495,2,1,2,0,1.1,83.1,0.8,0,6.47
23,Arsenal,26820,2010,2011,5(2),5,2.0,356,1,0,1,0,1.4,89.7,0.0,0,6.46
24,Arsenal,8041,2010,2011,8,8,0.0,720,0,0,1,0,0.0,65.4,0.4,0,6.39
25,Arsenal,25165,2010,2011,0(4),0,4.0,60,1,0,0,0,0.8,86.7,0.0,0,6.36
26,Arsenal,74342,2010,2011,0(1),0,1.0,9,0,0,0,0,0.0,100.0,0.0,0,6.17
0,Chelsea,4384,2010,2011,30(6),30,6.0,2793,11,13,6,0,4.2,61.8,2.1,7,7.55
1,Chelsea,1563,2010,2011,33(5),33,5.0,2810,13,4,1,0,2.3,83.4,0.7,4,7.44
2,Chelsea,48,2010,2011,23(1),23,1.0,2026,10,2,2,0,3.2,82.2,0.1,2,7.37
3,Chelsea,10132,2010,2011,12(3),12,3.0,1111,2,0,3,0,0.7,90.1,2.1,2,7.34
4,Chelsea,70,2010,2011,33,33,0.0,2962,3,1,6,0,0.8,87.6,2.9,2,7.31
5,Chelsea,1832,2010,2011,32(1),32,1.0,2802,3,2,5,1,2.1,87.1,0.9,1,7.24
6,Chelsea,15338,2010,2011,32(2),32,2.0,2830,4,4,12,0,1.1,84.9,1.9,2,7.24
7,Chelsea,27586,2010,2011,11(1),11,1.0,954,2,0,3,0,0.8,83.9,1.3,2,7.17
8,Chelsea,527,2010,2011,27(5),27,5.0,2364,6,4,0,0,2.3,81.8,0.7,1,7.1
9,Chelsea,15464,2010,2011,28,28,0.0,2219,0,1,3,0,0.4,89.5,1.3,0,7.07
10,Chelsea,28191,2010,2011,22(7),22,7.0,1943,2,0,7,0,1.0,84.3,0.5,1,7.06
11,Chelsea,342,2010,2011,38,38,0.0,3387,0,3,4,0,0.7,88.6,0.5,0,6.95
12,Chelsea,8028,2010,2011,16(15),16,15.0,1563,10,3,1,0,2.1,84.1,0.4,0,6.86
13,Chelsea,6775,2010,2011,38,38,0.0,3420,0,1,0,0,0.0,52.8,0.2,1,6.85
14,Chelsea,22846,2010,2011,0(1),0,1.0,33,0,1,0,0,0.0,90.5,0.0,0,6.82
15,Chelsea,10685,2010,2011,13(7),13,7.0,1263,0,0,1,0,0.8,82.9,0.4,0,6.82
16,Chelsea,7252,2010,2011,6(6),6,6.0,606,0,2,1,0,0.8,83.4,0.4,0,6.77
17,Chelsea,80881,2010,2011,1(1),1,1.0,108,0,0,0,0,0.5,82.1,1.5,0,6.65
18,Chelsea,7010,2010,2011,12(9),12,9.0,1038,0,2,2,0,0.0,85.2,0.5,1,6.65
19,Chelsea,4056,2010,2011,8(6),8,6.0,762,1,2,1,0,1.6,76.0,0.4,0,6.53
20,Chelsea,4490,2010,2011,1(6),1,6.0,203,1,0,0,0,0.6,83.0,0.1,0,6.45
21,Chelsea,92324,2010,2011,1(8),1,8.0,172,0,0,1,0,0.2,90.7,0.0,0,6.2
22,Chelsea,23736,2010,2011,0(13),0,13.0,147,0,0,0,0,1.0,80.0,0.0,0,6.11
23,Chelsea,70291,2010,2011,1(4),1,4.0,121,0,0,0,0,0.8,70.6,0.2,0,6.1
0,Liverpool,7415,2010,2011,1,1,0.0,79,0,1,0,0,0.0,86.5,0.0,0,8.01
1,Liverpool,22221,2010,2011,12(1),12,1.0,1102,4,3,2,0,4.2,73.0,0.2,0,7.63
2,Liverpool,17,2010,2011,20(1),20,1.0,1869,4,5,2,0,2.4,80.4,0.9,6,7.52
3,Liverpool,10111,2010,2011,32(1),32,1.0,2547,5,5,5,0,1.9,78.5,0.2,4,7.31
4,Liverpool,7516,2010,2011,32(1),32,1.0,2821,13,7,3,0,1.9,73.6,1.5,2,7.29
5,Liverpool,4574,2010,2011,28,28,0.0,2438,2,2,4,0,0.9,78.5,1.1,2,7.23
6,Liverpool,31451,2010,2011,32(1),32,1.0,2858,0,1,6,1,0.7,82.8,1.9,1,7.21
7,Liverpool,4445,2010,2011,24(4),24,4.0,2044,10,0,2,0,2.0,84.3,0.6,3,7.14
8,Liverpool,44687,2010,2011,10(1),10,1.0,859,0,1,1,0,0.2,68.2,1.4,0,7.04
9,Liverpool,4056,2010,2011,22(1),22,1.0,1896,9,2,6,0,3.9,65.0,1.7,0,6.93
10,Liverpool,86594,2010,2011,1(1),1,1.0,147,0,0,1,0,0.5,82.5,0.0,0,6.91
11,Liverpool,44068,2010,2011,10(1),10,1.0,797,0,0,0,0,0.8,79.8,0.4,0,6.91
12,Liverpool,7398,2010,2011,12(4),12,4.0,1091,0,0,0,0,0.3,75.9,1.6,0,6.87
13,Liverpool,19840,2010,2011,38,38,0.0,3420,2,1,8,0,0.6,81.0,2.2,0,6.83
14,Liverpool,3061,2010,2011,10(6),10,6.0,1080,2,0,1,0,0.9,73.6,3.6,0,6.81
15,Liverpool,94030,2010,2011,7,7,0.0,621,0,0,3,0,0.4,77.7,0.9,0,6.76
16,Liverpool,23383,2010,2011,5(2),5,2.0,447,2,0,1,0,2.3,61.0,3.3,1,6.75
17,Liverpool,1653,2010,2011,9(3),9,3.0,744,0,0,1,0,0.3,84.1,1.1,0,6.74
18,Liverpool,1329,2010,2011,28,28,0.0,2489,0,0,4,0,0.0,74.2,0.9,0,6.7
