,Unnamed: 0,player_number,name,Year_start,Year_end,Test points,Decision tree points,Random forest points,XGBoost points,Polynomial points,dt delta ponts,rf delta ponts,xgb delta ponts,pl delta ponts
10,10,79560,Maxime Gonalons,2015,2016,6.37,6.574358974358974,6.524900000000002,6.3937664,6.641422432719439,0.204358974358974,0.15490000000000226,0.02376639999999952,0.2714224327194392
11,11,2113,Steed Malbranque,2015,2016,6.63,6.900476190476189,6.819999999999999,6.879225,6.652845832117634,0.270476190476189,0.1899999999999995,0.24922500000000003,0.02284583211763369
12,12,19663,Arnold Mvuemba,2015,2016,6.07,6.381315789473685,6.7724,6.561057,5.979406356918658,0.3113157894736851,0.7023999999999999,0.49105699999999963,0.0905936430813421
13,13,14240,Christophe Jallet,2016,2017,7.75,7.400800000000001,7.447899999999999,7.433193,7.775546877265166,0.34919999999999884,0.30210000000000115,0.31680699999999984,0.02554687726516569
14,14,134894,Corentin Tolisso,2016,2017,7.54,6.676818181818183,6.864599999999997,7.01455,7.403479003061704,0.8631818181818174,0.6754000000000033,0.5254500000000002,0.13652099693829634
15,15,71833,Anthony Lopes,2016,2017,6.85,7.037999999999999,7.110699999999998,7.1354866,6.964164261308603,0.18799999999999972,0.26069999999999816,0.2854866000000005,0.1141642613086038
16,16,24929,Mathieu Valbuena,2016,2017,6.02,6.0805,6.1100500000000055,6.113691,6.28680030633599,0.06050000000000022,0.09005000000000596,0.09369100000000063,0.2668003063359903
17,17,300705,Lucas Tousart,2016,2017,6.97,6.58162601626016,6.67,6.6164846,7.028983270347891,0.38837398373983945,0.2999999999999998,0.35351540000000004,0.05898327034789119
18,18,125004,Maxwel Cornet,2016,2017,6.18,6.203333333333331,6.167699999999996,6.0731354,6.046839881836697,0.02333333333333165,0.012300000000003308,0.10686459999999975,0.13316011816330242
19,19,22115,Jérémy Morel,2016,2017,7.25,7.004,7.045499999999996,7.0680246,7.269539357181906,0.24600000000000044,0.2045000000000039,0.1819753999999998,0.019539357181906247
20,20,110154,Memphis Depay,2016,2017,6.5,6.0805,6.2758999999999965,6.149198,6.486366991642954,0.4195000000000002,0.22410000000000352,0.35080199999999984,0.013633008357046172
21,21,73078,Alexandre Lacazette,2016,2017,7.08,6.982622950819673,6.955400000000001,7.0575857,7.25330436015168,0.09737704918032719,0.12459999999999916,0.02241430000000033,0.17330436015167994
22,22,202251,Emanuel Mammana,2016,2017,7.42,6.823809523809524,7.1038,7.2178493,7.335379992746752,0.5961904761904755,0.31620000000000026,0.2021506999999998,0.08462000725324792
23,23,322095,Mouctar Diakhaby,2016,2017,7.82,7.645384615384614,7.508599999999994,7.6125712,7.771598526380042,0.17461538461538595,0.3114000000000061,0.20742880000000063,0.0484014736199585
24,24,81949,Mathieu Gorgelin,2016,2017,6.26,6.367962962962964,6.432820000000006,6.37137,6.168009993537651,0.10796296296296415,0.17282000000000597,0.11136999999999997,0.0919900064623489
25,25,33661,Maciej Rybus,2016,2017,6.8,6.861333333333335,6.759999999999996,6.6573443,6.780573763314682,0.06133333333333546,0.04000000000000359,0.14265569999999972,0.019426236685317733
26,26,106596,Sergi Darder,2016,2017,7.02,7.247066666666665,7.156400000000001,7.1083746,7.057078523586587,0.22706666666666564,0.13640000000000185,0.08837460000000075,0.037078523586587586
27,27,79562,Clément Grenier,2016,2017,6.99,6.8459090909090925,6.868800000000001,6.900889,7.040990093958841,0.14409090909090772,0.12119999999999909,0.08911099999999994,0.050990093958840355
28,28,322096,Houssem Aouar,2016,2017,5.93,6.367962962962964,6.577700000000002,6.5460258,5.833805433578646,0.4379629629629642,0.6477000000000022,0.6160258000000001,0.09619456642135393
29,29,323068,Jordy Gaspar,2016,2017,6.91,6.84969696969697,6.7617999999999965,6.8811526,6.927414531378059,0.060303030303030525,0.14820000000000366,0.02884740000000008,0.017414531378058484
30,30,34190,Mapou Yanga-Mbiwa,2016,2017,6.93,6.781315789473684,6.703700000000003,6.7846303,7.090423178785569,0.14868421052631575,0.22629999999999661,0.14536969999999982,0.16042317878556922
31,31,79560,Maxime Gonalons,2016,2017,6.75,6.692588235294116,6.872799999999999,6.957898,6.914577782785949,0.057411764705883606,0.12279999999999891,0.20789800000000014,0.16457778278594937
32,32,134893,Nabil Fekir,2016,2017,7.32,6.978035714285715,7.080100000000001,7.0167737,7.275851509512537,0.34196428571428505,0.23989999999999956,0.3032263000000004,0.044148490487462944
33,33,95423,Rachid Ghezzal,2016,2017,6.86,6.808219178082194,6.8356,6.8306885,6.636701064224832,0.05178082191780664,0.024399999999999977,0.02931150000000038,0.22329893577516824
