,Unnamed: 0,age,height,id,name,position,weight
28,28,26,180,296522,Connor Randall, D(LR),76
29,29,25,177,295964,Sergi Canós, M(LR),75
32,32,34,193,69179,Ádám Bogdán, GK,82
33,33,25,178,297409,Pedro Chirivella, DMC,66
0,0,34,183,75691,Nicolás Otamendi, D(C),81
14,14,26,181,300495,Bersant Celina," AM(CLR),FW",60
17,17,32,174,27213,Fabian Delph," D(L),M(CL)",60
22,22,25,185,289253,Kelechi Iheanacho," AM(C),FW",82
23,23,24,169,295950,Manu García, M(CL),65
24,24,25,168,136462,Patrick Roberts," AM(CR),FW",58
1,1,26,181,122366,Anthony Martial," AM(LR),FW",76
6,6,24,180,300299,Marcus Rashford," AM(CLR),FW",70
8,8,32,181,29544,Morgan Schneiderlin, DMC,75
9,9,32,182,23220,Matteo Darmian," D(CLR),M(LR)",70
10,10,29,173,145385,Guillermo Varela, D(LR),70
12,12,27,178,303379,Donald Love," D(LR),M(CR)",72
14,14,38,183,4567,Bastian Schweinsteiger," D(C),M(C)",79
17,17,24,185,312739,Timothy Fosu-Mensah, D(CR),80
18,18,25,183,136454,Cameron Borthwick-Jackson," D(CL),M(CL)",78
24,24,28,176,110154,Memphis Depay," AM(CL),FW",78
25,25,35,192,33831,Sergio Romero, GK,87
31,31,27,177,302386,James Weir, M(C),71
3,3,26,188,131519,Dele Alli," M(CL),FW",76
4,4,32,178,83078,Kieran Trippier," D(LR),M(R)",71
7,7,33,186,69933,Toby Alderweireld, D(CR),81
12,12,29,187,101550,Kevin Wimmer, D(CL),85
15,15,30,183,91909,Son Heung-Min," M(CLR),FW",78
19,19,29,176,121849,Clinton N'Jie," AM(LR),FW",73
22,22,25,185,136455,Josh Onomah, M(CL),70
2,2,30,184,80921,Shkodran Mustafi, D(CR),82
11,11,27,189,288795,Rob Holding, D(CR),81
12,12,29,186,89401,Granit Xhaka," D(L),M(C)",80
26,26,34,180,135663,Lucas Pérez," AM(CR),FW",82
1,1,31,188,84008,Marcos Alonso," D(CL),M(L)",84
3,3,31,168,114075,N'Golo Kanté, DMC,68
18,18,28,184,97803,Michy Batshuayi, FW,76
19,19,27,187,92729,Nathaniel Chalobah, DMC,80
21,21,25,184,315543,Ola Aina," D(CLR),M(LR)",82
2,2,30,175,109915,Sadio Mané," AM(CLR),FW",69
6,6,31,195,74341,Joël Matip, D(C),90
9,9,31,175,33568,Georginio Wijnaldum, M(CLR),69
13,13,36,187,10839,Ragnar Klavan, D(C),85
16,16,29,189,107176,Loris Karius, GK,87
18,18,26,191,244779,Marko Grujic, DMC,86
19,19,23,175,318871,Trent Alexander-Arnold," D(R),M(R)",69
20,20,22,174,330818,Ben Woodburn, AM(CL),72
22,22,24,183,327852,Ovie Ejaria, M(CL),75
2,2,25,175,279379,Gabriel Jesus," AM(LR),FW",73
9,9,31,180,77464,Ilkay Gündogan, M(C),80
10,10,26,183,144711,Leroy Sané," M(CLR),FW",80
14,14,28,188,101374,John Stones, D(CR),70
17,17,35,175,91267,Nolito, AM(CL),65
22,22,39,184,14199,Claudio Bravo, GK,80
24,24,25,173,280663,Aleix García, DMC,68
0,0,26,177,338496,Josh Harrop, AM(CL),71
2,2,25,181,136457,Demetri Mitchell," D(L),M(R)",71
4,4,40,195,3281,Zlatan Ibrahimovic, FW,95
7,7,28,187,243814,Eric Bailly, D(CR),77
16,16,33,177,28421,Henrikh Mkhitaryan," M(CLR),FW",75
19,19,26,188,312584,Joel Pereira, GK,70
23,23,24,186,299271,Axel Tuanzebe, D(CR),75
24,24,25,193,336915,Scott McTominay," D(C),DMC",88
28,28,22,161,338497,Angel Gomes," M(CL),FW",61
5,5,31,188,71714,Victor Wanyama, DMC,80
15,15,26,176,320639,Filip Lesniak, Midfielder,70
17,17,33,187,29595,Moussa Sissoko, M(CR),83
18,18,26,178,143990,Harry Winks, DMC,65
19,19,28,184,133381,Vincent Janssen, FW,79
21,21,27,172,134887,Georges-Kévin Nkoudou, AM(LR),75
4,4,33,187,44120,Pierre-Emerick Aubameyang," M(CLR),FW",80
8,8,31,175,73078,Alexandre Lacazette," M(CLR),FW",73
12,12,29,183,110260,Sead Kolasinac," D(CL),DMC,M(L)",85
24,24,22,175,342564,Reiss Nelson, M(LR),71
25,25,24,194,351127,Konstantinos Mavropanos, D(C),94
28,28,23,175,345845,Eddie Nketiah, FW,72
29,29,23,179,342563,Joe Willock, M(C),71
6,6,29,190,91213,Álvaro Morata," AM(L),FW",84
7,7,29,190,104010,Antonio Rüdiger, D(CR),85
9,9,28,185,135211,Tiemoué Bakayoko, DMC,77
16,16,28,176,101955,Emerson," D(L),M(L)",63
18,18,30,185,141312,Davide Zappacosta," D(LR),M(LR)",70
19,19,32,178,75138,Danny Drinkwater, DMC,79
