,League,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Points_Simple,Delta_Points_Simple
187,bundesliga,Hamburger SV,2015,2016,34,11,8,15,40,46,41,42,-1
188,bundesliga,Ingolstadt,2015,2016,34,10,10,14,33,42,40,38,2
189,bundesliga,Augsburg,2015,2016,34,9,11,14,42,52,38,38,0
190,bundesliga,Werder Bremen,2015,2016,34,10,8,16,50,65,38,38,0
191,bundesliga,Darmstadt,2015,2016,34,9,11,14,38,53,38,35,3
192,bundesliga,Hoffenheim,2015,2016,34,9,10,15,39,54,37,35,2
193,bundesliga,Eintracht Frankfurt,2015,2016,34,9,9,16,34,52,36,33,3
194,bundesliga,VfB Stuttgart,2015,2016,34,9,6,19,50,75,33,34,-1
195,bundesliga,Hannover 96,2015,2016,34,7,4,23,31,62,25,26,-1
196,bundesliga,Bayern Munich,2016,2017,34,25,7,2,89,22,82,83,-1
197,bundesliga,RasenBallsport Leipzig,2016,2017,34,20,7,7,66,39,67,64,3
198,bundesliga,Borussia Dortmund,2016,2017,34,18,10,6,72,40,64,63,1
199,bundesliga,Hoffenheim,2016,2017,34,16,14,4,64,37,62,60,2
200,bundesliga,FC Cologne,2016,2017,34,12,13,9,51,42,49,50,-1
201,bundesliga,Hertha Berlin,2016,2017,34,15,4,15,43,47,49,45,4
202,bundesliga,Freiburg,2016,2017,34,14,6,14,42,60,48,36,12
203,bundesliga,Werder Bremen,2016,2017,34,13,6,15,61,64,45,46,-1
204,bundesliga,Borussia M.Gladbach,2016,2017,34,12,9,13,45,49,45,43,2
205,bundesliga,Schalke 04,2016,2017,34,11,10,13,45,40,43,49,-6
206,bundesliga,Eintracht Frankfurt,2016,2017,34,11,9,14,36,43,42,40,2
207,bundesliga,Bayer Leverkusen,2016,2017,34,11,8,15,53,55,41,45,-4
208,bundesliga,Augsburg,2016,2017,34,9,11,14,35,51,38,33,5
209,bundesliga,Hamburger SV,2016,2017,34,10,8,16,33,61,38,27,11
210,bundesliga,Mainz 05,2016,2017,34,10,7,17,44,55,37,40,-3
211,bundesliga,Wolfsburg,2016,2017,34,10,7,17,34,52,37,33,4
212,bundesliga,Ingolstadt,2016,2017,34,8,8,18,36,57,32,32,0
213,bundesliga,Darmstadt,2016,2017,34,7,4,23,28,63,25,23,2
214,bundesliga,Bayern Munich,2017,2018,34,27,3,4,92,28,84,83,1
215,bundesliga,Schalke 04,2017,2018,34,18,9,7,53,37,63,57,6
216,bundesliga,Hoffenheim,2017,2018,34,15,10,9,66,48,55,56,-1
217,bundesliga,Borussia Dortmund,2017,2018,34,15,10,9,64,47,55,55,0
218,bundesliga,Bayer Leverkusen,2017,2018,34,15,10,9,58,44,55,54,1
219,bundesliga,RasenBallsport Leipzig,2017,2018,34,15,8,11,57,53,53,49,4
220,bundesliga,VfB Stuttgart,2017,2018,34,15,6,13,36,36,51,48,3
221,bundesliga,Eintracht Frankfurt,2017,2018,34,14,7,13,45,45,49,47,2
222,bundesliga,Borussia M.Gladbach,2017,2018,34,13,8,13,47,52,47,43,4
223,bundesliga,Hertha Berlin,2017,2018,34,10,13,11,43,46,43,42,1
224,bundesliga,Werder Bremen,2017,2018,34,10,12,12,37,40,42,42,0
225,bundesliga,Augsburg,2017,2018,34,10,11,13,43,46,41,43,-2
226,bundesliga,Hannover 96,2017,2018,34,10,9,15,44,54,39,39,0
227,bundesliga,Mainz 05,2017,2018,34,9,9,16,38,52,36,36,0
228,bundesliga,Freiburg,2017,2018,34,8,12,14,32,56,36,28,8
229,bundesliga,Wolfsburg,2017,2018,34,6,15,13,36,48,33,34,-1
230,bundesliga,Hamburger SV,2017,2018,34,8,7,19,29,53,31,28,3
231,bundesliga,FC Cologne,2017,2018,34,5,7,22,35,70,22,26,-4
232,bundesliga,Bayern Munich,2018,2019,34,24,6,4,88,32,78,77,1
233,bundesliga,Borussia Dortmund,2018,2019,34,23,7,4,81,44,76,66,10
234,bundesliga,RasenBallsport Leipzig,2018,2019,34,19,9,6,63,29,66,69,-3
235,bundesliga,Bayer Leverkusen,2018,2019,34,18,4,12,69,52,58,58,0
236,bundesliga,Borussia M.Gladbach,2018,2019,34,16,7,11,55,42,55,56,-1
237,bundesliga,Wolfsburg,2018,2019,34,16,7,11,62,50,55,54,1
238,bundesliga,Eintracht Frankfurt,2018,2019,34,15,9,10,60,48,54,53,1
239,bundesliga,Werder Bremen,2018,2019,34,14,11,9,58,49,53,50,3
240,bundesliga,Hoffenheim,2018,2019,34,13,12,9,70,52,51,54,-3
241,bundesliga,Fortuna Duesseldorf,2018,2019,34,13,5,16,49,65,44,39,5
242,bundesliga,Hertha Berlin,2018,2019,34,11,10,13,49,57,43,41,2
243,bundesliga,Mainz 05,2018,2019,34,12,7,15,46,57,43,40,3
244,bundesliga,Freiburg,2018,2019,34,8,12,14,46,61,36,36,0
245,bundesliga,Schalke 04,2018,2019,34,8,9,17,37,55,33,33,0
246,bundesliga,Augsburg,2018,2019,34,8,8,18,51,71,32,36,-4
247,bundesliga,VfB Stuttgart,2018,2019,34,7,7,20,32,70,28,23,5
248,bundesliga,Hannover 96,2018,2019,34,5,6,23,31,71,21,22,-1
249,bundesliga,Nuernberg,2018,2019,34,3,10,21,26,68,19,19,0
250,bundesliga,Bayern Munich,2019,2020,34,26,4,4,100,32,82,81,1
251,bundesliga,Borussia Dortmund,2019,2020,34,21,6,7,84,41,69,70,-1
252,bundesliga,RasenBallsport Leipzig,2019,2020,34,18,12,4,81,37,66,67,-1
253,bundesliga,Borussia M.Gladbach,2019,2020,34,20,5,9,66,40,65,64,1
254,bundesliga,Bayer Leverkusen,2019,2020,34,19,6,9,61,44,63,58,5
255,bundesliga,Hoffenheim,2019,2020,34,15,7,12,53,53,52,47,5
256,bundesliga,Wolfsburg,2019,2020,34,13,10,11,48,46,49,47,2
257,bundesliga,Freiburg,2019,2020,34,13,9,12,48,47,48,47,1
258,bundesliga,Eintracht Frankfurt,2019,2020,34,13,6,15,59,60,45,47,-2
259,bundesliga,Hertha Berlin,2019,2020,34,11,8,15,48,59,41,40,1
260,bundesliga,Union Berlin,2019,2020,34,12,5,17,41,58,41,36,5
261,bundesliga,Schalke 04,2019,2020,34,9,12,13,38,58,39,32,7
262,bundesliga,Mainz 05,2019,2020,34,11,4,19,44,65,37,35,2
263,bundesliga,Augsburg,2019,2020,34,9,9,16,45,63,36,35,1
264,bundesliga,FC Cologne,2019,2020,34,10,6,18,51,69,36,37,-1
265,bundesliga,Werder Bremen,2019,2020,34,8,7,19,42,69,31,31,0
266,bundesliga,Fortuna Duesseldorf,2019,2020,34,6,12,16,36,67,30,26,4
267,bundesliga,Paderborn,2019,2020,34,4,8,22,37,74,20,25,-5
268,bundesliga,Bayern Munich,2020,2021,34,24,6,4,99,44,78,72,6
269,bundesliga,RasenBallsport Leipzig,2020,2021,34,19,8,7,60,32,65,66,-1
270,bundesliga,Borussia Dortmund,2020,2021,34,20,4,10,75,46,64,65,-1
271,bundesliga,Wolfsburg,2020,2021,34,17,10,7,61,37,61,61,0
272,bundesliga,Eintracht Frankfurt,2020,2021,34,16,12,6,69,53,60,53,7
273,bundesliga,Bayer Leverkusen,2020,2021,34,14,10,10,53,39,52,55,-3
274,bundesliga,Union Berlin,2020,2021,34,12,14,8,50,43,50,48,2
275,bundesliga,Borussia M.Gladbach,2020,2021,34,13,10,11,64,56,49,50,-1
276,bundesliga,VfB Stuttgart,2020,2021,34,12,9,13,56,55,45,47,-2
277,bundesliga,Freiburg,2020,2021,34,12,9,13,52,52,45,46,-1
278,bundesliga,Hoffenheim,2020,2021,34,11,10,13,52,54,43,44,-1
279,bundesliga,Mainz 05,2020,2021,34,10,9,15,39,56,39,34,5
280,bundesliga,Augsburg,2020,2021,34,10,6,18,36,54,36,34,2
281,bundesliga,Hertha Berlin,2020,2021,34,8,11,15,41,52,35,37,-2
282,bundesliga,Arminia Bielefeld,2020,2021,34,9,8,17,26,52,35,25,10
283,bundesliga,FC Cologne,2020,2021,34,8,9,17,34,60,33,28,5
284,bundesliga,Werder Bremen,2020,2021,34,7,10,17,36,57,31,31,0
285,bundesliga,Schalke 04,2020,2021,34,3,7,24,25,86,16,14,2
286,bundesliga,Bayern Munich,2021,2022,34,24,5,5,97,37,77,77,0
287,bundesliga,Borussia Dortmund,2021,2022,34,22,3,9,85,52,69,65,4
288,bundesliga,Bayer Leverkusen,2021,2022,34,19,7,8,80,47,64,64,0
289,bundesliga,RasenBallsport Leipzig,2021,2022,34,17,7,10,72,37,58,68,-10
290,bundesliga,Union Berlin,2021,2022,34,16,9,9,50,44,57,50,7
291,bundesliga,Freiburg,2021,2022,34,15,10,9,58,46,55,53,2
292,bundesliga,FC Cologne,2021,2022,34,14,10,10,52,49,52,47,5
293,bundesliga,Mainz 05,2021,2022,34,13,7,14,50,45,46,50,-4
294,bundesliga,Hoffenheim,2021,2022,34,13,7,14,58,60,46,46,0
295,bundesliga,Borussia M.Gladbach,2021,2022,34,12,9,13,54,61,45,42,3
296,bundesliga,Eintracht Frankfurt,2021,2022,34,10,12,12,45,49,42,42,0
297,bundesliga,Wolfsburg,2021,2022,34,12,6,16,43,54,42,40,2
298,bundesliga,Bochum,2021,2022,34,12,6,16,38,52,42,37,5
299,bundesliga,Augsburg,2021,2022,34,10,8,16,39,56,38,35,3
300,bundesliga,VfB Stuttgart,2021,2022,34,7,12,15,41,59,33,33,0
301,bundesliga,Hertha Berlin,2021,2022,34,9,6,19,37,71,33,27,6
302,bundesliga,Arminia Bielefeld,2021,2022,34,5,13,16,27,53,28,24,4
303,bundesliga,Greuther Fuerth,2021,2022,34,3,9,22,28,82,18,16,2
304,la liga,Barcelona,2014,2015,38,30,4,4,110,21,94,100,-6
305,la liga,Real Madrid,2014,2015,38,30,2,6,118,38,92,92,0
306,la liga,Atletico Madrid,2014,2015,38,23,9,6,67,29,78,80,-2
307,la liga,Valencia,2014,2015,38,22,11,5,70,32,77,77,0
308,la liga,Sevilla,2014,2015,38,23,7,8,71,45,76,70,6
309,la liga,Villarreal,2014,2015,38,16,12,10,48,37,60,60,0
310,la liga,Athletic Club,2014,2015,38,15,10,13,42,41,55,52,3
311,la liga,Celta Vigo,2014,2015,38,13,12,13,47,44,51,53,-2
312,la liga,Malaga,2014,2015,38,14,8,16,42,48,50,48,2
313,la liga,Espanyol,2014,2015,38,13,10,15,47,51,49,49,0
314,la liga,Rayo Vallecano,2014,2015,38,15,4,19,46,68,49,40,9
315,la liga,Real Sociedad,2014,2015,38,11,13,14,44,51,46,45,1
316,la liga,Elche,2014,2015,38,11,8,19,35,62,41,32,9
317,la liga,Getafe,2014,2015,38,10,7,21,33,64,37,30,7
318,la liga,Levante,2014,2015,38,9,10,19,34,67,37,29,8
319,la liga,Eibar,2014,2015,38,9,8,21,34,55,35,35,0
320,la liga,Deportivo La Coruna,2014,2015,38,7,14,17,35,60,35,31,4
321,la liga,Granada,2014,2015,38,7,14,17,29,64,35,24,11
322,la liga,Almeria,2014,2015,38,8,8,22,35,64,32,31,1
323,la liga,Cordoba,2014,2015,38,3,11,24,22,68,20,17,3
324,la liga,Barcelona,2015,2016,38,29,4,5,112,29,91,95,-4
325,la liga,Real Madrid,2015,2016,38,28,6,4,110,34,90,90,0
326,la liga,Atletico Madrid,2015,2016,38,28,4,6,63,18,88,93,-5
327,la liga,Villarreal,2015,2016,38,18,10,10,44,35,64,60,4
328,la liga,Athletic Club,2015,2016,38,18,8,12,58,45,62,62,0
329,la liga,Celta Vigo,2015,2016,38,17,9,12,51,59,60,47,13
330,la liga,Sevilla,2015,2016,38,14,10,14,51,50,52,52,0
331,la liga,Malaga,2015,2016,38,12,12,14,38,35,48,53,-5
332,la liga,Real Sociedad,2015,2016,38,13,9,16,45,48,48,50,-2
333,la liga,Real Betis,2015,2016,38,11,12,15,34,52,45,36,9
334,la liga,Valencia,2015,2016,38,11,11,16,46,48,44,49,-5
335,la liga,Las Palmas,2015,2016,38,12,8,18,45,53,44,46,-2
336,la liga,Eibar,2015,2016,38,11,10,17,49,61,43,44,-1
337,la liga,Espanyol,2015,2016,38,12,7,19,40,74,43,31,12
338,la liga,Deportivo La Coruna,2015,2016,38,8,18,12,45,61,42,37,5
339,la liga,Sporting Gijon,2015,2016,38,10,9,19,40,62,39,36,3
340,la liga,Granada,2015,2016,38,10,9,19,46,69,39,37,2
341,la liga,Rayo Vallecano,2015,2016,38,9,11,18,52,73,38,39,-1
342,la liga,Getafe,2015,2016,38,9,9,20,37,67,36,31,5
343,la liga,Levante,2015,2016,38,8,8,22,37,70,32,30,2
344,la liga,Real Madrid,2016,2017,38,29,6,3,106,41,93,85,8
345,la liga,Barcelona,2016,2017,38,28,6,4,116,37,90,89,1
346,la liga,Atletico Madrid,2016,2017,38,23,9,6,70,27,78,83,-5
347,la liga,Sevilla,2016,2017,38,21,9,8,69,49,72,64,8
348,la liga,Villarreal,2016,2017,38,19,10,9,56,33,67,70,-3
349,la liga,Real Sociedad,2016,2017,38,19,7,12,59,53,64,57,7
350,la liga,Athletic Club,2016,2017,38,19,6,13,53,43,63,61,2
351,la liga,Espanyol,2016,2017,38,15,11,12,49,50,56,50,6
352,la liga,Alaves,2016,2017,38,14,13,11,41,43,55,48,7
353,la liga,Eibar,2016,2017,38,15,9,14,56,51,54,55,-1
354,la liga,Malaga,2016,2017,38,12,10,16,49,55,46,47,-1
355,la liga,Valencia,2016,2017,38,13,7,18,56,65,46,47,-1
356,la liga,Celta Vigo,2016,2017,38,13,6,19,53,69,45,44,1
357,la liga,Las Palmas,2016,2017,38,10,9,19,53,74,39,40,-1
358,la liga,Real Betis,2016,2017,38,10,9,19,41,64,39,36,3
359,la liga,Deportivo La Coruna,2016,2017,38,8,12,18,43,61,36,38,-2
360,la liga,Leganes,2016,2017,38,8,11,19,36,55,35,36,-1
361,la liga,Sporting Gijon,2016,2017,38,7,10,21,42,72,31,33,-2
362,la liga,Osasuna,2016,2017,38,4,10,24,40,94,22,24,-2
363,la liga,Granada,2016,2017,38,4,8,26,30,82,20,20,0
