,League,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Points_Simple,Delta_Points_Simple
741,serie a,Lecce,2019,2020,38,9,8,21,52,85,35,35,0
742,serie a,Brescia,2019,2020,38,6,7,25,35,79,25,25,0
743,serie a,SPAL 2013,2019,2020,38,5,5,28,27,77,20,20,0
744,serie a,Inter,2020,2021,38,28,7,3,89,35,91,84,7
745,serie a,AC Milan,2020,2021,38,24,7,7,74,41,79,74,5
746,serie a,Atalanta,2020,2021,38,23,9,6,90,47,78,74,4
747,serie a,Juventus,2020,2021,38,23,9,6,77,38,78,76,2
748,serie a,Napoli,2020,2021,38,24,5,9,86,41,77,80,-3
749,serie a,Lazio,2020,2021,38,21,5,12,61,55,68,58,10
750,serie a,Roma,2020,2021,38,18,9,11,68,55,63,60,3
751,serie a,Sassuolo,2020,2021,38,17,11,10,64,56,62,56,6
752,serie a,Sampdoria,2020,2021,38,15,7,16,52,54,52,52,0
753,serie a,Verona,2020,2021,38,10,13,15,43,48,43,46,-3
754,serie a,Genoa,2020,2021,38,10,12,16,47,58,42,43,-1
755,serie a,Bologna,2020,2021,38,10,11,17,51,65,41,42,-1
756,serie a,Fiorentina,2020,2021,38,9,13,16,47,59,40,42,-2
757,serie a,Udinese,2020,2021,38,10,10,18,42,58,40,40,0
758,serie a,Spezia,2020,2021,38,9,12,17,52,72,39,39,0
759,serie a,Cagliari,2020,2021,38,9,10,19,43,59,37,40,-3
760,serie a,Torino,2020,2021,38,7,16,15,50,69,37,38,-1
761,serie a,Benevento,2020,2021,38,7,12,19,40,75,33,29,4
762,serie a,Crotone,2020,2021,38,6,5,27,45,92,23,29,-6
763,serie a,Parma Calcio 1913,2020,2021,38,3,11,24,39,83,20,26,-6
764,serie a,AC Milan,2021,2022,38,26,8,4,69,31,86,79,7
765,serie a,Inter,2021,2022,38,25,9,4,84,32,84,83,1
766,serie a,Napoli,2021,2022,38,24,7,7,74,31,79,82,-3
767,serie a,Juventus,2021,2022,38,20,10,8,57,37,70,67,3
768,serie a,Lazio,2021,2022,38,18,10,10,77,58,64,62,2
769,serie a,Roma,2021,2022,38,18,9,11,59,43,63,63,0
770,serie a,Fiorentina,2021,2022,38,19,5,14,59,51,62,60,2
771,serie a,Atalanta,2021,2022,38,16,11,11,65,48,59,62,-3
772,serie a,Verona,2021,2022,38,14,11,13,65,59,53,54,-1
773,serie a,Torino,2021,2022,38,13,11,14,46,41,50,55,-5
774,serie a,Sassuolo,2021,2022,38,13,11,14,64,66,50,50,0
775,serie a,Udinese,2021,2022,38,11,14,13,61,58,47,51,-4
776,serie a,Bologna,2021,2022,38,12,10,16,44,55,46,43,3
777,serie a,Empoli,2021,2022,38,10,11,17,50,70,41,39,2
778,serie a,Sampdoria,2021,2022,38,10,6,22,46,63,36,42,-6
779,serie a,Spezia,2021,2022,38,10,6,22,41,71,36,34,2
780,serie a,Salernitana,2021,2022,38,7,10,21,33,78,31,23,8
781,serie a,Cagliari,2021,2022,38,6,12,20,34,68,30,28,2
782,serie a,Genoa,2021,2022,38,4,16,18,27,60,28,24,4
783,serie a,Venezia,2021,2022,38,6,9,23,34,69,27,28,-1
